"Pop","Loc","Date","Year","Plant_ID","Species","Amount"
"I2","Field",2022-06-15,"2022","I2 - Plant 12","Leptinotarsa juncta",1
"I3","Field",2022-06-15,"2022","I3 - Plant 5","Leptinotarsa juncta",1
"I3","Field",2022-06-15,"2022","I3 - Plant 6","Leptinotarsa juncta",5
"I3","Field",2022-06-15,"2022","I3 - Plant 15","Leptinotarsa juncta",1
"N5","Field",2022-06-17,"2022","N5 - Plant 8","Epitrix fuscula",8
"ARB","Field",2022-06-17,"2022","Plant-4-Arb","Epitrix fuscula",1
"ARB","Field",2022-06-17,"2022","Plant-6-Arb","Epitrix fuscula",1
"ARB","Field",2022-06-17,"2022","Plant-7-Arb","Epitrix fuscula",4
"CAH","Field",2022-06-21,"2022","Plant-5-CAH","Epitrix fuscula",3
"FLAT","Field",2022-06-23,"2022","Flat6","Epitrix fuscula",2
"BR","Field",2022-06-21,"2022","BlackRiver1","Leptinotarsa juncta",1
"BR","Field",2022-06-21,"2022","BlackRiver1","Epitrix fuscula",1
"QUI","Field",2020-06-07,"2023","QUI-3","Leptinotarsa juncta",1
"QUI","Field",2020-06-07,"2023","QUI-6","Black_weevils",1
"QUI","Field",2020-06-07,"2023","QUI-8","Leptinotarsa juncta",21
"QUI","Field",2020-06-07,"2023","QUI-14","Leptinotarsa juncta",4
"QUI","Field",2020-06-07,"2023","QUI-16","Leptinotarsa juncta",4
"QUI","Field",2020-06-07,"2023","QUI-17","Black_weevils",1
"QUI","Field",2020-06-07,"2023","QUI-18","Leptinotarsa juncta",3
"QUI","Field",2020-06-07,"2023","QUI-21","Leptinotarsa juncta",1
"QUI","Field",2020-06-07,"2023","QUI-22","Leptinotarsa juncta",1
"QUI","Field",2020-06-07,"2023","QUI-24","Leptinotarsa juncta",7
"QUI","Field",2020-06-07,"2023","QUI-27","Leptinotarsa juncta",2
"QUI","Field",2020-06-07,"2023","QUI-30","Leptinotarsa juncta",2
"COO","Field",2020-06-08,"2023","COO-1","Epitrix fuscula",4
"COO","Field",2020-06-08,"2023","COO-3","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-4","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-6","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-6","Torti_Beetle",1
"COO","Field",2020-06-08,"2023","COO-9","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-11","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-12","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-13","Torti_Beetle",1
"COO","Field",2020-06-08,"2023","COO-14","Epitrix fuscula",3
"COO","Field",2020-06-08,"2023","COO-14","Torti_Beetle",1
"COO","Field",2020-06-08,"2023","COO-15","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-16","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-17","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-19","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-22","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-22","Torti_Beetle",1
"COO","Field",2020-06-08,"2023","COO-22","Black_weevils",2
"COO","Field",2020-06-08,"2023","COO-24","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-24","Torti_Beetle",1
"COO","Field",2020-06-08,"2023","COO-24","Black_weevils",1
"COO","Field",2020-06-08,"2023","COO-25","Epitrix fuscula",1
"COO","Field",2020-06-08,"2023","COO-26","Epitrix fuscula",2
"COO","Field",2020-06-08,"2023","COO-27","Epitrix fuscula",3
"COO","Field",2020-06-08,"2023","COO-28","Epitrix fuscula",3
"COO","Field",2020-06-08,"2023","COO-30","Epitrix fuscula",4
"DUDU","Field",2020-06-12,"2023","DUDU-13","Spider mite",2
"DUDU","Field",2020-06-12,"2023","DUDU-21","Spider mite",2
"DUDU","Field",2020-06-12,"2023","DUDU-22","Spider mite",1
"SUW","Field",2020-06-14,"2023","SUW-1","Black_weevils",3
"SUW","Field",2020-06-14,"2023","SUW-11","Black_weevils",3
"SHE","Field",2020-06-29,"2023","SHE-3","Black_weevils",1
"SHE","Field",2020-06-29,"2023","SHE-5","Epitrix fuscula",1
"SHE","Field",2020-06-29,"2023","SHE-6","Torti_Beetle",1
"SHE","Field",2020-06-29,"2023","SHE-6","Black_weevils",2
"SHE","Field",2020-06-29,"2023","SHE-8","Epitrix fuscula",2
"SHE","Field",2020-06-29,"2023","SHE-10","Epitrix fuscula",1
"SHE","Field",2020-06-29,"2023","SHE-11","Epitrix fuscula",4
"SHE","Field",2020-06-29,"2023","SHE-12","Torti_Beetle",1
"SHE","Field",2020-06-29,"2023","SHE-13","Torti_Beetle",1
"SHE","Field",2020-06-29,"2023","SHE-17","Epitrix fuscula",2
"SHE","Field",2020-06-29,"2023","SHE-19","Black_weevils",5
"SHE","Field",2020-06-29,"2023","SHE-23","Epitrix fuscula",1
"SHE","Field",2020-06-29,"2023","SHE-25","Epitrix fuscula",1
"SHE","Field",2020-06-29,"2023","SHE-29","Epitrix fuscula",1
"KAN","Field",2020-06-27,"2023","KAN-7","Torti_Beetle",1
"TAL","Field",2020-07-06,"2023","TAL-2","Black_weevils",2
"TAL","Field",2020-07-06,"2023","TAL-4","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-5","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-9","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-11","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-12","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-13","Spodoptera",1
"TAL","Field",2020-07-06,"2023","TAL-14","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-15","Black_weevils",1
"TAL","Field",2020-07-06,"2023","TAL-16","Black_weevils",5
"TAL","Field",2020-07-06,"2023","TAL-21","Leptinotarsa juncta",1
"TAL","Field",2020-07-06,"2023","TAL-22","Leptinotarsa juncta",1
"TAL","Field",2020-07-06,"2023","TAL-23","Black_weevils",2
"OAK","Field",2020-06-27,"2023","OAK-6","Leafhopper",1
"OAK","Field",2020-06-27,"2023","OAK-18","Epitrix fuscula",1
"OAK","Field",2020-06-27,"2023","OAK-23","Epitrix fuscula",1
"OAK","Field",2020-06-27,"2023","OAK-26","Epitrix fuscula",1
"PLA","Field",2020-06-26,"2023","PLA-3","Black_weevils",1
"PLA","Field",2020-06-26,"2023","PLA-4","Black_weevils",1
"PLA","Field",2020-06-26,"2023","PLA-5","Epitrix fuscula",1
"PLA","Field",2020-06-26,"2023","PLA-6","Epitrix fuscula",2
"PLA","Field",2020-06-26,"2023","PLA-13","Black_weevils",1
"PLA","Field",2020-06-26,"2023","PLA-15","Epitrix fuscula",1
"PLA","Field",2020-06-26,"2023","PLA-15","Black_weevils",1
"PLA","Field",2020-06-26,"2023","PLA-23","Black_weevils",1
"PLA","Field",2020-06-26,"2023","PLA-29","Leafhopper",1
"BEC","Field",2020-06-25,"2023","BEC-2","Epitrix fuscula",1
"BEC","Field",2020-06-25,"2023","BEC-4","Epitrix fuscula",1
"BEC","Field",2020-06-25,"2023","BEC-6","Black_weevils",1
"BEC","Field",2020-06-25,"2023","BEC-9","Epitrix fuscula",1
"BEC","Field",2020-06-25,"2023","BEC-11","Epitrix fuscula",4
"BEC","Field",2020-06-25,"2023","BEC-12","Black_weevils",2
"BEC","Field",2020-06-25,"2023","BEC-13","Black_weevils",1
"BEC","Field",2020-06-25,"2023","BEC-16","Black_weevils",1
"BEC","Field",2020-06-25,"2023","BEC-21","Epitrix fuscula",1
"BEC","Field",2020-06-25,"2023","BEC-23","Epitrix fuscula",1
"BEC","Field",2020-06-25,"2023","BEC-28","Epitrix fuscula",2
"BEC","Field",2020-06-25,"2023","BEC-30","Epitrix fuscula",4
"REF","Field",2020-06-23,"2023","REF-1","Mealybug",3
"REF","Field",2020-06-23,"2023","REF-4","Mealybug",1
"REF","Field",2020-06-23,"2023","REF-11","Mealybug",1
"REF","Field",2020-06-23,"2023","REF-18","Mealybug",1
"REF","Field",2020-06-23,"2023","REF-20","Mealybug",1
"REF","Field",2020-06-23,"2023","REF-26","Mealybug",1
"REF","Field",2020-06-23,"2023","REF-28","Black_weevils",1
"GRE","Field",2020-06-22,"2023","GRE-2","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-4","Black_weevils",2
"GRE","Field",2020-06-22,"2023","GRE-5","Epitrix fuscula",3
"GRE","Field",2020-06-22,"2023","GRE-5","Leptinotarsa juncta",2
"GRE","Field",2020-06-22,"2023","GRE-6","Epitrix fuscula",4
"GRE","Field",2020-06-22,"2023","GRE-7","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-8","Epitrix fuscula",3
"GRE","Field",2020-06-22,"2023","GRE-8","Black_weevils",1
"GRE","Field",2020-06-22,"2023","GRE-9","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-11","Epitrix fuscula",2
"GRE","Field",2020-06-22,"2023","GRE-13","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-15","Epitrix fuscula",4
"GRE","Field",2020-06-22,"2023","GRE-20","Epitrix fuscula",3
"GRE","Field",2020-06-22,"2023","GRE-21","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-23","Epitrix fuscula",4
"GRE","Field",2020-06-22,"2023","GRE-24","Epitrix fuscula",2
"GRE","Field",2020-06-22,"2023","GRE-26","Epitrix fuscula",1
"GRE","Field",2020-06-22,"2023","GRE-27","Epitrix fuscula",1
"ARB","Garden",2023-07-03,"2023","ARB-12A","White Fly",2
"ARB","Garden",2023-07-10,"2023","ARB-12A","White Fly",2
"ARB","Garden",2023-07-28,"2023","ARB-12A","Spodoptera",4
"ARB","Garden",2023-08-03,"2023","ARB-12A","Mealybug",10
"ARB","Garden",2023-08-07,"2023","ARB-12A","Mealybug",20
"ARB","Garden",2023-08-07,"2023","ARB-12A","Spodoptera",2
"ARB","Garden",2023-08-15,"2023","ARB-12A","Aphid",150
"ARB","Garden",2023-08-15,"2023","ARB-12A","Mealybug",10
"ARB","Garden",2023-05-31,"2023","ARB-7C","Meallybug",1
"ARB","Garden",2023-06-05,"2023","ARB-7C","Caterpillar",1
"ARB","Garden",2023-06-12,"2023","ARB-7C","Grasshopper",1
"ARB","Garden",2023-06-20,"2023","ARB-7C","Egg",1
"ARB","Garden",2023-07-03,"2023","ARB-7C","White Fly",1
"ARB","Garden",2023-07-03,"2023","ARB-7C","Mealybug",5
"ARB","Garden",2023-07-10,"2023","ARB-7C","Green caterpillar",1
"ARB","Garden",2023-07-28,"2023","ARB-7C","Mealybug",100
"ARB","Garden",2023-08-03,"2023","ARB-7C","Mealybug",150
"ARB","Garden",2023-08-07,"2023","ARB-7C","Mealybug",150
"ARB","Garden",2023-08-15,"2023","ARB-7C","Mealybug",100
"ARB","Garden",2023-06-12,"2023","ARB-7D","Scales",3
"ARB","Garden",2023-07-03,"2023","ARB-7D","White Fly",2
"ARB","Garden",2023-07-03,"2023","ARB-7D","Scales",50
"ARB","Garden",2023-07-28,"2023","ARB-7D","Stink bug",1
"ARB","Garden",2023-08-03,"2023","ARB-7D","Grasshopper",1
"ARB","Garden",2023-08-07,"2023","ARB-7D","Mealybug",30
"ARB","Garden",2023-08-07,"2023","ARB-7D","White Fly",10
"ARB","Garden",2023-08-15,"2023","ARB-7D","Mealybug",10
"ARB","Garden",2023-08-15,"2023","ARB-7D","White fly",5
"ARB","Garden",2023-06-05,"2023","ARB-7E","Caterpillar",2
"ARB","Garden",2023-06-05,"2023","ARB-7E","Grasshopper",1
"ARB","Garden",2023-07-03,"2023","ARB-7E","Grasshopper",1
