"Pop","Latitude","MAT","Tsd","AP","PWQ","Clim_PC1","Clim_PC2"
"QUI",30.5473566,20.0999999046326,5.88162386728493,137.2,49.6,-2.54674278278953,-0.306061778393937
"COO",32.5134944,19.0636364546689,6.72547734460906,116,33.3,-0.847758856913572,0.574635143690008
"DUDU",29.6135164,21.24090905623,5.03213758888946,123.7,55.1,-2.87700752080965,-1.06771422105082
"SUW",29.3034545,21.2454544847662,5.0624820589375,138.3,64.4,-3.67802240633861,-1.54947175007958
"TAL",30.4959901,20.2727273377505,5.860348166196,137.2,50.9,-2.63671896573267,-0.415906653809097
"OAK",42.1814204,10.1863635710695,9.9440707403123,87.4,31.6,2.03101753745307,-0.48847054080309
"KAN",41.0491084,11.2909090203995,9.45293118715145,93.6,30.3,1.65114971557828,-0.149695016690869
"SHE",36.185288,16.3045454838059,8.03005140284524,115.1,29.2,0.113530146211934,0.760559207727264
"PLA",39.719879,12.3772726275704,9.14156334624345,98,30.8,1.28809302678606,-0.0260808693207182
"BEC",38.2144158,13.959090904756,8.29845819818684,110.6,31.8,0.470620996975536,0.29586383676573
"GRE",33.3606805,17.963636322455,7.09510721502967,129.8,33.5,-0.952479508973809,0.840883462765517
"REF",35.010498,16.0818181742321,7.42910727298475,131,32.2,-0.586781324406472,0.893364074804903
"PS",29.411548,21.4863636493683,4.89735070698199,121.9,53.2,-2.81292020253375,-0.924578034232985
"BR",30.081895,21.1954545541243,5.22945752167934,121.1,49.8,-2.49119821582722,-0.658179993610116
"ECO",30.15618,20.6045454415408,5.68271313897881,137,55.3,-2.9383256262552,-0.801125950446186
"ICH",31.240498,19.9636362899433,6.16437710606711,121.2,39.4,-1.55415438558122,0.207258187762727
"TU",31.7957,18.9727274071087,6.45594178339353,124.4,36,-1.25951283077848,0.543060277680821
"FLAT",32.397905,18.9499999393116,6.54411950590198,104.6,32.3,-0.55804035249751,0.380278236325519
"ARB",33.189776,18.1545455780896,7.12339314181451,131.1,34.3,-1.03771501957803,0.808496438162599
"CAH",33.322326,17.6681818420237,7.04699478810619,131,34,-0.985338208099948,0.813335069796674
"MOR",33.805162,17.5363635529171,7.03171702832268,116.4,31.4,-0.485205930688573,0.67874357593376
"",34.463636,16.4818182316693,7.33775425483285,124.5,31,-0.444310805985123,0.860792203198665
"COL",34.463827,16.4818182316693,7.33775425483285,124.5,31,-0.444310805985123,0.860792203198665
"HIX",35.126792,16.322727125138,7.52467132066334,129.4,32.1,-0.541695593082591,0.87056686384443
"I1",35.756115,15.4409091093323,7.84613984061,124.7,31,-0.164189663211887,0.803124694317447
"I2",38.090354,14.4681817997586,8.33703418183404,110.4,31.2,0.454316787588688,0.367622056307621
"I3",38.21292,13.959090904756,8.29845819818684,110.6,31.8,0.470620996975536,0.29586383676573
"I4",39.881442,12.0772726454518,9.06938146596566,97.5,30.8,1.31466762859059,-0.0501836989366758
"N1",41.060078,11.2999999858439,9.48417101216829,94,30.3,1.6497862064263,-0.140185069495645
"N2",41.378575,11.1681818799539,9.60125717951709,89.8,29.6,1.84061787926234,-0.191166221302287
"N8",42.181973,10.1863635710695,9.9440707403123,87.4,31.6,2.03101753745307,-0.48847054080309
"N7",42.199832,10.1863635277206,9.92393793383415,87,31.4,2.04431457842448,-0.479682867522951
"N6",42.426433,10.1136363876814,10.0507234977285,83,30.4,2.24035008728556,-0.495922134497234
"N5",42.442998,9.82272722504356,10.0244292412894,83.6,30.5,2.24786534435845,-0.502518550437007
"N4",42.950489,8.85000001300465,10.21290851303,81.9,31.2,2.43395879578275,-0.658917985328189
"N3",42.957818,8.85454545779662,10.1457738626034,81.5,30.8,2.44165736208184,-0.630316751748778
"N9",43.390901,8.84545463594523,9.59029347492408,77.3,27.3,2.54238202441604,-0.400774727765262
"N10",43.642057,8.52272720770402,9.86552989681714,79.6,28,2.57646235441846,-0.429816012773548
