Pop,Date,Time,Plant_ID,Loc,Year,L_area,L_weight,Trichomes,Conc,herb_p,Leaves,Height,SLA
I1,6/15/2022,2022,I1 - Plant 1,Field,2022,1.19,0.0111,372,0.443456103,0.01,NA,25,107.2072072
I1,6/15/2022,2022,I1 - Plant 2,Field,2022,2.323,0.0206,252,0.507289995,0.01,NA,33,112.7669903
I1,6/15/2022,2022,I1 - Plant 3,Field,2022,3.179,0.0309,180,0.379595216,0.02,NA,37,102.8802589
I1,6/15/2022,2022,I1 - Plant 4,Field,2022,3.376,0.034,184,0.339914138,0.03,NA,48,99.29411765
I1,6/15/2022,2022,I1 - Plant 5,Field,2022,1.647,0.0138,176,0.224948411,0,NA,36,119.3478261
I1,6/15/2022,2022,I1 - Plant 6,Field,2022,2.196,0.0105,124,0.783342991,0,NA,24,209.1428571
I1,6/15/2022,2022,I1 - Plant 7,Field,2022,2.029,0.0182,192,0.371654018,0.05,NA,30,111.4835165
I1,6/15/2022,2022,I1 - Plant 8,Field,2022,2.073,0.0164,140,0.303072532,0.02,NA,32,126.402439
I1,6/15/2022,2022,I1 - Plant 9,Field,2022,2.449,0.0193,96,0.140963277,0.01,NA,25,126.8911917
I1,6/15/2022,2022,I1 - Plant 10,Field,2022,2.446,0.0208,104,0.478728555,0.01,NA,39,117.5961538
I1,6/15/2022,2022,I1 - Plant 11,Field,2022,1.583,0.0106,136,0.35563824,0,NA,23,149.3396226
I1,6/15/2022,2022,I1 - Plant 12,Field,2022,2.347,0.0254,152,0.503183508,0.02,NA,46,92.4015748
I1,6/15/2022,2022,I1 - Plant 13,Field,2022,2.92,0.0265,92,0.985554801,0,NA,49,110.1886792
I1,6/15/2022,2022,I1 - Plant 14,Field,2022,2.565,0.02,104,0.31404319,0.01,NA,33,128.25
I1,6/15/2022,2022,I1 - Plant 15,Field,2022,2.462,0.0165,116,0.370229416,0,NA,31,149.2121212
I2,6/15/2022,2022,I2 - Plant 1,Field,2022,1.689,0.0145,176,0.099882135,0.4,NA,33,116.4827586
I2,6/15/2022,2022,I2 - Plant 2,Field,2022,1.296,0.0099,164,0.353975697,0.1,NA,40,130.9090909
I2,6/15/2022,2022,I2 - Plant 3,Field,2022,1.073,0.0068,168,0.337458889,0.5,NA,29,157.7941176
I2,6/15/2022,2022,I2 - Plant 4,Field,2022,2.055,0.0109,116,0.338210334,0.05,NA,32,188.5321101
I2,6/15/2022,2022,I2 - Plant 5,Field,2022,1.456,0.0094,196,0.306065551,0.1,NA,48,154.893617
I2,6/15/2022,2022,I2 - Plant 6,Field,2022,1.358,0.0073,232,0.430641168,0,NA,30,186.0273973
I2,6/15/2022,2022,I2 - Plant 7,Field,2022,1.54,0.0094,240,0.490221553,0.02,NA,31,163.8297872
I2,6/15/2022,2022,I2 - Plant 8,Field,2022,3.256,0.0258,292,0.286822544,0,NA,42,126.2015504
I2,6/15/2022,2022,I2 - Plant 9,Field,2022,2.323,0.0112,164,0.877468311,0,NA,35,207.4107143
I2,6/15/2022,2022,I2 - Plant 10,Field,2022,1.951,0.0137,168,0.05543535,0,NA,46,142.4087591
I2,6/15/2022,2022,I2 - Plant 11,Field,2022,1.357,0.0077,184,0.530795912,0.03,NA,28,176.2337662
I2,6/15/2022,2022,I2 - Plant 12,Field,2022,1.316,0.0077,112,0.535314232,0.01,NA,25,170.9090909
I2,6/15/2022,2022,I2 - Plant 13,Field,2022,2.622,0.0149,144,0.368208366,0,NA,25,175.9731544
I2,6/15/2022,2022,I2 - Plant 14,Field,2022,2.613,0.015,100,0.425254066,0,NA,37,174.2
I2,6/15/2022,2022,I2 - Plant 15,Field,2022,2.361,0.0168,124,0.385515882,0,NA,35,140.5357143
I3,6/15/2022,2022,I3 - Plant 1,Field,2022,2.483,0.0211,264,1.119113442,0.02,NA,52,117.6777251
I3,6/15/2022,2022,I3 - Plant 2,Field,2022,2.086,0.0136,116,0.988897476,0.04,NA,47,153.3823529
I3,6/15/2022,2022,I3 - Plant 3,Field,2022,1.895,0.0146,136,0.863423543,0.02,NA,39,129.7945205
I3,6/15/2022,2022,I3 - Plant 4,Field,2022,1.678,0.0156,180,0.829812875,0.01,NA,43,107.5641026
I3,6/15/2022,2022,I3 - Plant 5,Field,2022,1.606,0.0153,244,1.266352935,0.02,NA,46,104.9673203
I3,6/15/2022,2022,I3 - Plant 6,Field,2022,3.639,0.0374,116,0.571345001,0.01,NA,51,97.29946524
I3,6/15/2022,2022,I3 - Plant 7,Field,2022,2.214,0.0217,148,0.706132745,0.05,NA,42,102.0276498
I3,6/15/2022,2022,I3 - Plant 8,Field,2022,2.36,0.0237,192,0.551531968,0.02,NA,34,99.57805907
I3,6/15/2022,2022,I3 - Plant 9,Field,2022,1.689,0.0181,200,0.533474891,0.02,NA,55,93.31491713
I3,6/15/2022,2022,I3 - Plant 10,Field,2022,2.449,0.018,272,0.549621675,0.01,NA,38,136.0555556
I3,6/15/2022,2022,I3 - Plant 11,Field,2022,1.371,0.0091,204,0.789989738,0.07,NA,53,150.6593407
I3,6/15/2022,2022,I3 - Plant 12,Field,2022,1.29,0.0129,140,0.652287282,0.05,NA,48,100
I3,6/15/2022,2022,I3 - Plant 13,Field,2022,2.44,0.0201,212,0.999421185,0.03,NA,37,121.3930348
I3,6/15/2022,2022,I3 - Plant 14,Field,2022,2.834,0.0221,144,0.701896013,0.03,NA,38,128.2352941
I3,6/15/2022,2022,I3 - Plant 15,Field,2022,1.208,0.0094,144,0.922157239,0.04,NA,43,128.5106383
I4,6/15/2022,2022,I4 - Plant 1,Field,2022,3.668,0.0245,110,0.345791877,0,NA,42,149.7142857
I4,6/15/2022,2022,I4 - Plant 2,Field,2022,1.765,0.0104,91,0.139713671,0,NA,34,169.7115385
I4,6/15/2022,2022,I4 - Plant 3,Field,2022,1.896,0.0131,87,0.135121523,0,NA,42,144.7328244
I4,6/15/2022,2022,I4 - Plant 4,Field,2022,1.66,0.0057,92,0.980634581,0,NA,20,291.2280702
I4,6/15/2022,2022,I4 - Plant 5,Field,2022,2.171,0.0115,112,0.471123098,0,NA,36,188.7826087
I4,6/15/2022,2022,I4 - Plant 6,Field,2022,2.14,0.0081,116,0.216179673,0.02,NA,35,264.1975309
I4,6/15/2022,2022,I4 - Plant 7,Field,2022,2.941,0.0144,108,0.274214564,0,NA,25,204.2361111
I4,6/15/2022,2022,I4 - Plant 8,Field,2022,2.295,0.0106,90,0.629551786,0,NA,29,216.509434
I4,6/15/2022,2022,I4 - Plant 9,Field,2022,1.004,0.045,146,0.410894472,0,NA,23,22.31111111
I4,6/15/2022,2022,I4 - Plant 10,Field,2022,2.317,0.0103,108,0.314216101,0,NA,56,224.9514563
N1,6/17/2022,2022,N1 - Plant 1,Field,2022,1.215,0.0087,228,0.792889972,0,NA,30,139.6551724
N1,6/17/2022,2022,N1 - Plant 2,Field,2022,1.917,0.0122,139,0.445196986,0.005,NA,22,157.1311475
N1,6/17/2022,2022,N1 - Plant 3,Field,2022,1.941,0.0163,83,0.243781859,0,NA,33,119.0797546
N1,6/17/2022,2022,N1 - Plant 4,Field,2022,1.179,0.0081,77,0.313647567,0,NA,32,145.5555556
N1,6/17/2022,2022,N1 - Plant 5,Field,2022,1.377,0.0087,134,0.239452753,0.01,NA,39,158.2758621
N1,6/17/2022,2022,N1 - Plant 6,Field,2022,1.469,0.0113,98,0.580941351,0,NA,30,130
N1,6/17/2022,2022,N1 - Plant 7,Field,2022,0.986,0.0065,81,0.488082066,0,NA,15,151.6923077
N1,6/17/2022,2022,N1 - Plant 8,Field,2022,0.788,0.0063,128,0.387836942,0,NA,10,125.0793651
N1,6/17/2022,2022,N1 - Plant 9,Field,2022,1.141,0.0075,78,0.655431017,0.4,NA,23,152.1333333
N1,6/17/2022,2022,N1 - Plant 10,Field,2022,1.748,0.0182,243,0.679840313,0.02,NA,26,96.04395604
N1,6/17/2022,2022,N1 - Plant 11,Field,2022,2.858,0.0251,345,0.883882987,0.03,NA,18,113.8645418
N2,6/17/2022,2022,N2 - Plant 1,Field,2022,1.729,0.0065,81,0.529303623,0.1,NA,21,266
N2,6/17/2022,2022,N2 - Plant 2,Field,2022,2.056,0.0135,82,0.498789787,0.4,NA,34,152.2962963
N2,6/17/2022,2022,N2 - Plant 3,Field,2022,1.308,0.0067,93,0.692178773,0.05,NA,36,195.2238806
N2,6/17/2022,2022,N2 - Plant 4,Field,2022,4.815,0.0248,139,0.694178749,0.03,NA,35,194.1532258
N2,6/17/2022,2022,N2 - Plant 5,Field,2022,3.432,0.0239,187,0.655583775,0.02,NA,28,143.5983264
N2,6/17/2022,2022,N2 - Plant 6,Field,2022,1.614,0.0075,100,0.733815156,0.1,NA,30,215.2
N2,6/17/2022,2022,N2 - Plant 7,Field,2022,1.742,0.0094,188,1.34758332,0.05,NA,29,185.3191489
N2,6/17/2022,2022,N2 - Plant 8,Field,2022,1.951,0.0101,107,0.598226722,0.1,NA,24,193.1683168
N2,6/17/2022,2022,N2 - Plant 9,Field,2022,2.854,0.135,83,0.693398626,0.03,NA,18,21.14074074
N2,6/17/2022,2022,N2 - Plant 10,Field,2022,1.409,0.008,112,0.858591464,0.07,NA,24,176.125
N2,6/17/2022,2022,N2 - Plant 11,Field,2022,1.586,0.01,184,0.598133292,0.05,NA,24,158.6
N3,6/17/2022,2022,N3 - Plant 1,Field,2022,0.801,0.0059,92,0.624451501,0,NA,34,135.7627119
N3,6/17/2022,2022,N3 - Plant 2,Field,2022,3.171,0.0238,132,0.413978397,0,NA,37,133.2352941
N3,6/17/2022,2022,N3 - Plant 3,Field,2022,1.835,0.0078,95,0.534665611,0,NA,36,235.2564103
N3,6/17/2022,2022,N3 - Plant 4,Field,2022,0.965,0.0054,133,0.575037486,0,NA,32,178.7037037
N3,6/17/2022,2022,N3 - Plant 5,Field,2022,2.185,0.0141,115,0.596088547,0,NA,40,154.964539
N3,6/17/2022,2022,N3 - Plant 6,Field,2022,1.505,0.0106,141,0.618923294,0.02,NA,36,141.9811321
N3,6/17/2022,2022,N3 - Plant 7,Field,2022,0.94,0.0059,108,0.941749198,0,NA,20,159.3220339
N4,6/17/2022,2022,N4 - Plant 1,Field,2022,2.475,0.014,98,0.15862392,0.01,NA,16,176.7857143
N4,6/17/2022,2022,N4 - Plant 2,Field,2022,2.264,0.0172,74,0.418345154,0.01,NA,24,131.627907
N4,6/17/2022,2022,N4 - Plant 3,Field,2022,2.94,0.0183,99,0.20213673,0,NA,28,160.6557377
N4,6/17/2022,2022,N4 - Plant 4,Field,2022,1.775,0.0185,109,0.255820967,0.01,NA,27,95.94594595
N4,6/17/2022,2022,N4 - Plant 5,Field,2022,2.317,0.0178,135,0.914163741,0.3,NA,41,130.1685393
N4,6/17/2022,2022,N4 - Plant 6,Field,2022,2.063,0.0151,162,0.628654782,0.01,NA,25,136.6225166
N4,6/17/2022,2022,N4 - Plant 7,Field,2022,2.752,0.0231,170,0.590087598,0,NA,29,119.1341991
N5,8/10/2022,2022,Culvan-1,Field,2022,0.887,0.0067,164,0.905289996,0.02,NA,30,132.3880597
N5,6/17/2022,2022,N5 - Plant 1,Field,2022,1.888,0.0147,132,0.182654067,0.01,NA,18,128.4353741
N5,8/10/2022,2022,Culvan-2,Field,2022,1.04,0.0069,144,0.761171963,0.04,NA,43,150.7246377
N5,8/10/2022,2022,Culvan-3,Field,2022,1.69,0.0127,124,0.604729756,0.05,NA,65,133.0708661
N5,6/17/2022,2022,N5 - Plant 3,Field,2022,1.898,0.0136,167,0.364143219,0.01,NA,22,139.5588235
N5,8/10/2022,2022,Culvan-4,Field,2022,1.472,0.0103,104,0.505013475,0.03,NA,40,142.9126214
N5,6/17/2022,2022,N5 - Plant 4,Field,2022,2.461,0.0254,240,0.890219497,0.1,NA,20,96.88976378
N5,8/10/2022,2022,Culvan-5,Field,2022,1.193,0.0105,100,0.888927695,0,NA,31,113.6190476
N5,6/17/2022,2022,N5 - Plant 5,Field,2022,1.964,0.0187,217,0.732751692,0.01,NA,21,105.026738
N5,8/10/2022,2022,Culvan-6,Field,2022,1.318,0.0103,152,0.446813926,0.06,NA,61,127.961165
N5,6/17/2022,2022,N5 - Plant 6,Field,2022,2.012,0.0151,281,0.396524124,0.01,NA,37,133.2450331
