"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"I1",2022-06-15,"I1 - Plant 1","Field","2022","2022",1.19,0.0111,372,0.443456103420585,0.01,0,0,NA,25,107.207207207207
"I1",2022-06-15,"I1 - Plant 2","Field","2022","2022",2.323,0.0206,252,0.507289995421887,0.01,0,0,NA,33,112.766990291262
"I1",2022-06-15,"I1 - Plant 3","Field","2022","2022",3.179,0.0309,180,0.379595215534127,0.02,0,1,NA,37,102.880258899676
"I1",2022-06-15,"I1 - Plant 4","Field","2022","2022",3.376,0.034,184,0.339914137985058,0.03,0,0,NA,48,99.2941176470588
"I1",2022-06-15,"I1 - Plant 5","Field","2022","2022",1.647,0.0138,176,0.22494841104367,0,0,0,NA,36,119.347826086957
"I1",2022-06-15,"I1 - Plant 6","Field","2022","2022",2.196,0.0105,124,0.78334299103366,0,0,0,NA,24,209.142857142857
"I1",2022-06-15,"I1 - Plant 7","Field","2022","2022",2.029,0.0182,192,0.371654017798182,0.05,0,0,NA,30,111.483516483516
"I1",2022-06-15,"I1 - Plant 8","Field","2022","2022",2.073,0.0164,140,0.30307253201769,0.02,0,2,NA,32,126.40243902439
"I1",2022-06-15,"I1 - Plant 9","Field","2022","2022",2.449,0.0193,96,0.140963277438765,0.01,0,0,NA,25,126.891191709845
"I1",2022-06-15,"I1 - Plant 10","Field","2022","2022",2.446,0.0208,104,0.478728554782216,0.01,0,0,NA,39,117.596153846154
"I1",2022-06-15,"I1 - Plant 11","Field","2022","2022",1.583,0.0106,136,0.355638239892626,0,0,1,NA,23,149.339622641509
"I1",2022-06-15,"I1 - Plant 12","Field","2022","2022",2.347,0.0254,152,0.503183507729998,0.02,0,1,NA,46,92.4015748031496
"I1",2022-06-15,"I1 - Plant 13","Field","2022","2022",2.92,0.0265,92,0.985554800992502,0,0,1,NA,49,110.188679245283
"I1",2022-06-15,"I1 - Plant 14","Field","2022","2022",2.565,0.02,104,0.314043190283949,0.01,0,1,NA,33,128.25
"I1",2022-06-15,"I1 - Plant 15","Field","2022","2022",2.462,0.0165,116,0.370229415829921,0,0,2,NA,31,149.212121212121
