Region,Population,Pop_ID,Latitude,Longitude,Pop,Place
South,Pop3,Pop1,29.411548,-82.159774,PS,Citra - PS
South,Pop1,Pop2,29.613501,-82.360194,DUDU,Dudu's population
South,Pop8,Pop3,30.081895,-81.839665,BR,Black river
South,Pop5,Pop4,30.15618,-83.857337,ECO,Econfina river - ECO
South,Pop9,Pop5,30.5446,-84.6032,TAL,"Quincy, North Florida research center"
South,Pop7,Pop6,31.240498,-84.513992,ICH,ICH
South,Pop10,Pop7,31.7957,-85.9614,TU,"Troy University, Troy Alabama"
South,Pop6,Pop8,32.397905,-83.784664,FLAT,Flat
South,Pop2,Pop9,33.189776,-87.472662,ARB,University of alabama arboretum
South,Pop4,Pop10,33.322326,-86.852447,CAH,Cahaba river in Birmingham alabama - CAH
Mid,Pop8,Pop11,33.805162,-84.35617,MOR,"Morningside nature preserve, MOR"
South,Pop13,Pop12,34.463636,-84.916391,,Ooky Memorial Park
Mid,Pop7,Pop13,34.463827,-84.916271,COL,"Calhoun, CoL"
Mid,Pop5,Pop14,35.010332,-85.364585,REF,Chattanooga - REF (Reflection Riding Arboretum & Nature Center)
South,Pop12,Pop15,35.126791,-85.220236,,Greenway Farm Conference Center
Mid,Pop6,Pop16,35.126792,-85.220253,HIX,"Hixson, HIX"
Mid,Pop1,Pop17,35.756115,-86.910418,I1,I1 - Spring Hill
Mid,Pop2,Pop18,38.090354,-85.635227,I2,I2 - Louisville
Mid,Pop3,Pop19,38.21292,-85.477407,I3,I3 - Louisville
Mid,Pop4,Pop20,39.881442,-86.32035,I4,I4 - Indianapolis
North,Pop1,Pop21,41.060078,-87.426522,N1,"Indiana, south Chicago"
North,Pop2,Pop22,41.378575,-88.12306,N2,"Midewin Iron Bridge Trailhead, South Chicago"
North,Pop8,Pop23,42.181973,-88.951815,N8,"Oak Ridge Forest Preserve, South Rockford"
North,Pop7,Pop24,42.199832,-88.957596,N7,"Deer Run Forest Preserve, South Rockford"
North,Pop6,Pop26,42.426433,-89.048089,N6,Chicory Ridge Park
North,Pop5,Pop27,42.442998,-89.207294,N5,"Calvin and Sophia Ferguson Forest Preserve, North Rockford"
North,Pop4,Pop28,42.950489,-89.869416,N4,Schurch-Thomson
North,Pop3,Pop29,42.957818,-89.671322,N3,Donald County park
North,Pop9,Pop30,43.390901,-88.02382,N9,UWM
North,Pop10,Pop31,43.642057,-88.187774,N10,Kettle
