Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
QUI-1,QUI,6/7/2023,1,30,11,0,7,0,0,0,0,0,0,13,0,0,0,125,13,2.001,0.0106
QUI-2,QUI,6/7/2023,2,28,8,0,10,0,0,0,0,0,0,18,0,0,0,148,11,1.684,0.0094
QUI-3,QUI,6/7/2023,3,27,12,0,15,0,0,0,1,0,0,13,0,0,0,123,11,1.516,0.0073
QUI-4,QUI,6/7/2023,4,29,6,0,8,0,0,0,0,0,0,22,0,0,0,116,15,1.679,0.0083
QUI-5,QUI,6/7/2023,5,27,6,0,5,0,0,0,0,0,0,48,0,0,0,97,16,1.429,0.0064
QUI-6,QUI,6/7/2023,6,26,6,0,10,0,0,0,0,0,1,20,0,0,0,146,11,1.046,0.0057
QUI-7,QUI,6/7/2023,7,28,7,0,5,0,0,0,0,0,0,11,0,0,0,85,8,0.885,0.0037
QUI-8,QUI,6/7/2023,8,41,8,0,3,0,0,0,21,0,0,15,0,0,0,111,12,2.794,0.0144
QUI-9,QUI,6/7/2023,9,24,7,0,6,0,0,0,0,0,0,18,0,0,0,141,15,1.286,0.0064
QUI-10,QUI,6/7/2023,10,22,9,0,3,0,0,0,0,0,0,22,0,0,0,116,11,2.477,0.0136
QUI-11,QUI,6/7/2023,11,23,11,0,7,0,0,0,0,0,0,13,0,0,0,151,16,1.492,0.0069
QUI-12,QUI,6/7/2023,12,23,9,0,25,0,0,0,0,0,0,24,0,0,0,125,11,1.831,0.0091
QUI-13,QUI,6/7/2023,13,23,11,0,10,0,0,0,0,0,0,18,0,0,0,133,8,1.697,0.0074
QUI-14,QUI,6/7/2023,14,22,9,0,6,0,0,0,4,0,0,16,0,0,0,135,12,2.201,0.0131
QUI-15,QUI,6/7/2023,15,25,20,0,20,0,0,0,0,0,0,12,0,0,0,114,11,2.17,0.0102
QUI-16,QUI,6/7/2023,16,27,12,0,10,0,0,0,4,0,0,12,0,0,0,82,15,1.364,0.0103
QUI-17,QUI,6/7/2023,17,24,10,0,15,0,0,0,0,0,1,18,0,0,0,90,10,2.178,0.0106
QUI-18,QUI,6/7/2023,18,28,10,0,8,0,0,0,3,0,0,20,0,0,0,88,14,1.494,0.0072
QUI-19,QUI,6/7/2023,19,23,7,0,20,0,0,0,0,0,0,30,0,0,0,93,13,1.209,0.0055
QUI-20,QUI,6/7/2023,20,24,6,0,5,0,0,0,0,0,0,16,0,0,0,92,6,1.53,0.0075
QUI-21,QUI,6/7/2023,21,21,7,0,15,0,0,0,1,0,0,36,0,0,0,288,10,1.878,0.0108
QUI-22,QUI,6/7/2023,22,28,12,0,40,0,0,0,1,0,0,16,0,0,0,111,8,0.961,0.0052
QUI-23,QUI,6/7/2023,23,25,5,0,2,0,0,0,0,0,0,12,0,0,0,,,,
QUI-24,QUI,6/7/2023,24,29,12,0,35,0,0,0,7,0,0,20,0,0,0,98,14,1.725,0.0084
QUI-25,QUI,6/7/2023,25,25,9,0,4,0,0,0,0,0,0,12,0,0,0,,,,
QUI-26,QUI,6/7/2023,26,19,6,0,10,0,0,0,0,0,0,20,0,0,0,143,14,2.108,0.0115
QUI-27,QUI,6/7/2023,27,30,7,0,12,0,0,0,2,0,0,48,0,0,0,123,13,1.647,0.0088
QUI-28,QUI,6/7/2023,28,21,7,0,7,0,0,0,0,0,0,12,0,0,0,296,13,1.138,0.0064
QUI-29,QUI,6/7/2023,29,30,18,0,5,0,0,0,0,0,0,24,0,0,0,127,10,1.254,0.0067
