Pop,Plant_ID,Rep,Date,Trichomes_b1,Spines_b1,L_area_b1,L_weight_b1,Trichomes_b2,Spines_b2,L_area_b2,L_weight_b2,Trichomes_t1,Spines_t1,L_area_t1,L_weight_t1,Trichomes_t2,Spines_t2,L_area_t2,L_weight_t2
BR,1,A,8/17/2023,105,18,1.128,0.0052,112,8,0.775,0.0032,190,11,1.944,0.0117,204,14,0.757,0.0042
BR,1,E,8/17/2023,152,12,1.999,0.0139,85,11,0.809,0.0043,180,11,0.951,0.0055,192,11,1.118,0.0066
BR,1,H,8/17/2023,180,15,0.884,0.0052,135,13,0.658,0.004,200,9,0.849,0.0051,140,10,1.148,0.0071
BR,1,J,8/17/2023,115,19,0.511,0.0024,225,14,0.703,0.004,252,11,0.693,0.0045,220,16,1.17,0.0083
DUDU,1,A,8/17/2023,84,17,1.909,0.0123,97,18,1.37,0.0105,15,9,0.824,0.0047,58,10,1.821,0.0116
DUDU,1,C,8/17/2023,45,11,1.426,0.0099,56,17,1.532,0.0097,42,15,1.3,0.0079,51,11,1.844,0.0125
DUDU,7,A,8/17/2023,52,7,0.883,0.0056,42,4,0.96,0.0062,69,8,0.543,0.0021,48,8,1.686,0.0105
DUDU,7,B,8/17/2023,75,11,0.955,0.0058,55,11,1.183,0.0057,66,10,0.757,0.0036,85,9,1.321,0.0068
DUDU,7,C,8/17/2023,54,8,0.678,0.004,96,0,0.47,0.0022,35,4,0.532,0.0037,76,5,0.689,0.0028
DUDU,7,D,8/17/2023,64,7,0.529,0.0034,45,2,2.113,0.0129,70,10,1.479,0.0085,90,11,1.608,0.0096
DUDU,7,E,8/17/2023,66,3,0.828,0.0049,64,9,0.778,0.0057,87,7,0.762,0.0054,64,7,1.016,0.0062
DUDU,3,A,8/17/2023,100,9,0.919,0.0054,37,7,1.078,0.006,108,11,0.91,0.0055,128,9,1.445,0.0076
DUDU,3,C,8/17/2023,61,12,1.226,0.0051,100,14,0.977,0.0059,66,7,1.013,0.0052,86,5,0.98,0.0041
DUDU,3,D,8/17/2023,60,8,1.572,0.0089,,,,,64,9,1.225,0.0079,,,,
DUDU,5,A,8/17/2023,84,8,0.813,0.0054,72,9,1.849,0.0111,110,7,1.354,0.0064,83,6,1.047,0.0052
DUDU,5,B,8/17/2023,69,10,1.542,0.0085,80,3,1.003,0.006,84,7,1.103,0.0057,70,8,1.257,0.0064
FLAT,1,A,8/17/2023,97,3,0.76,0.0037,153,4,0.703,0.0044,144,12,0.96,0.006,109,11,0.945,0.0066
FLAT,1,B,8/17/2023,19,1,0.8,0.0024,9,5,0.558,0.0019,67,4,0.72,0.0026,120,4,0.741,0.0021
FLAT,3,A,8/17/2023,85,13,0.742,0.004,80,11,1.022,0.0047,58,10,0.782,0.0033,44,10,0.877,0.0048
FLAT,4,B,8/17/2023,,,,,,,,,,,,,,,,
FLAT,5,A,8/17/2023,115,16,1.841,0.0099,65,17,0.6,0.0027,125,13,2.366,0.0139,120,13,0.874,0.0059
FLAT,6,B,8/17/2023,108,20,1.677,0.0079,130,18,1.296,0.0062,132,11,1.461,0.0091,128,13,1.814,0.00106
HIX,1,C,8/17/2023,128,13,1.036,0.0061,75,14,0.897,0.005,123,16,0.839,0.0035,72,16,0.542,0.0027
HIX,1,D,8/17/2023,105,4,1.11,0.0056,112,11,1.126,0.006,63,16,0.935,0.0047,92,13,1.08,0.0072
HIX,1,E,8/17/2023,115,11,1.04,0.0047,90,8,0.898,0.0052,34,8,0.757,0.0042,128,9,1.367,0.0089
HIX,1,G,8/17/2023,112,3,2.015,0.0113,115,10,0.718,0.0049,23,16,0.933,0.004,105,13,0.921,0.0042
HIX,3,E,8/17/2023,87,4,0.708,0.0037,100,3,0.529,0.0039,44,12,0.996,0.0061,39,11,0.995,0.0052
HIX,4,C,8/17/2023,175,13,1.193,0.0058,136,9,1.164,0.0052,128,11,1.629,0.0083,120,7,2.282,0.0106
HIX,4,D,8/17/2023,135,8,1.198,0.0075,110,4,1.352,0.0096,130,13,1.725,0.0088,140,8,1.243,0.0074
