Plant_ID,Date,Survey,Height,stems,leaves,phen,buds,fl_h,fl_m,fruit,Chewing,Sucking,herb.sp1,herb.n1,herb.sp2,herb.n2,herb.sp3,herb.n3
PS-1A,5/15/23,1,13,1,6,bud,3,,,,,,,,,,,
PS-1B,5/15/23,1,8,1,5,veg,0,,,,,,,,,,,
PS-1C,5/15/23,1,11,1,6,veg,,,,,,,,,,,,
PS-2A,5/15/23,1,9,1,4,veg,,,,,,,,,,,,
PS-2B,5/15/23,1,14,1,7,veg,0,,,,,,,,,,,
PS-2C,5/15/23,1,6,2,6,veg,,,,,,,,,,,,
PS-2E,5/15/23,1,9,1,4,veg,,,,,,,,,,,,
PS-2F,5/15/23,1,8,3,12,veg,0,,,,,,,,,,,
PS-2G,5/15/23,1,14,1,6,veg,0,,,,,,,,,,,
PS-3E,5/15/23,1,7,3,12,veg,0,,,,,,,,,,,
PS-3F,5/15/23,1,10,2,9,veg,,,,,,,,,,,,
PS-4A,5/15/23,1,11,3,12,veg,0,,,,,,,,,,,
PS-4B,5/15/23,1,11,2,11,veg,0,,,,,,,,,,,
PS-4C,5/15/23,1,7,2,7,veg,,,,,,,,,,,,
PS-4D,5/15/23,1,5,1,7,veg,0,,,,,,,,,,,
PS-4E,5/15/23,1,9,1,6,veg,0,,,,,,,,,,,
PS-5B,5/15/23,1,13,2,14,veg,0,,,,,,,,,,,
PS-5C,5/15/23,1,10,1,5,veg,,,,,,,,,,,,
PS-5E,5/15/23,1,11,3,13,veg,0,,,,,,,,,,,
DUDU-1A,5/15/23,1,18,6,24,veg,0,,,,,,,,,,,
DUDU-1C,5/15/23,1,3,1,4,veg,0,,,,,,,,,,,
DUDU-3A,5/15/23,1,7,2,9,veg,0,,,,,,,,,,,
DUDU-3C,5/15/23,1,14,4,22,veg,0,,,,,,,,,,,
DUDU-3D,5/15/23,1,3,1,4,veg,0,,,,,,,,,,,
DUDU-5A,5/15/23,1,9,7,28,veg,0,,,,,,,,,,,
DUDU-5B,5/15/23,1,15,2,13,veg,0,,,,,,,,,,,
DUDU-7A,,1,3,1,11,veg,0,,,,,,,,,,,
DUDU-7B,,1,3,1,6,veg,0,,,,,,,,,,,
DUDU-7C,,1,2,1,5,veg,0,,,,,,,,,,,
DUDU-7D,,1,4,1,8,veg,0,,,,,,,,,,,
DUDU-7E,,1,3,2,8,veg,0,,,,,,,,,,,
BR-1A,5/15/23,1,5,5,11,veg,0,,,,,,,,,,,
BR-1E,5/15/23,1,8,1,5,veg,0,,,,,,,,,,,
BR-1H,5/15/23,1,6,2,11,veg,0,,,,,,,,,,,
BR-1J,5/15/23,1,13,6,20,veg,0,,,,,,,,,,,
ECO-1A,5/15/23,1,16,3,17,bud,6,,,,,,,,,,,
ECO-1B,5/15/23,1,19,5,27,bud,9,,,,,,,,,,,
ECO-2A,5/15/23,1,11,2,9,veg,0,,,,,,,,,,,
ECO-2B,5/15/23,1,13,3,16,veg,0,,,,,,,,,,,
ECO-3A,5/15/23,1,19,4,26,bud,10,,,,,,,,,,,
ECO-3B,5/15/23,1,15,3,20,bud,5,,,,,,,,,,,
ECO-5A,5/15/23,1,17,4,20,bud,3,,,,,,,,,,,
ECO-5B,5/15/23,1,16,4,21,bud,5,,,,,,,,,,,
ECO-6B,5/15/23,1,10,2,11,veg,0,,,,,,,,,,,
ICH-1A,5/15/23,1,14,1,6,veg,0,,,,,,,,,,,
ICH-1B,5/15/23,1,16,3,16,veg,0,,,,,,,,,,,
ICH-3A,5/15/23,1,12,3,15,veg,0,,,,,,,,,,,
ICH-5A,5/15/23,1,12,3,12,veg,0,,,,,,,,,,,
ICH-6A,5/15/23,1,12,1,5,veg,0,,,,,,,,,,,
FLAT-1A,5/15/23,1,16,3,14,veg,0,,,,,,,,,,,
FLAT-1B,5/15/23,1,4,2,4,veg,0,,,,,,,,,,,
FLAT-3A,5/15/23,1,7,2,7,veg,0,,,,,,,,,,,
FLAT-4B,5/15/23,1,17,2,11,veg,0,,,,,,,,,,,
FLAT-5A,5/15/23,1,13,2,10,veg,0,,,,,,,,,,,
FLAT-6B,5/15/23,1,16,2,8,veg,0,,,,,,,,,,,
ARB-7A,5/15/23,1,14,1,5,veg,0,,,,,,,,,,,
ARB-7B,5/15/23,1,19,3,15,bud,5,,,,,,,,,,,
ARB-7C,5/15/23,1,19,3,13,veg,0,,,,,,,,,,,
ARB-7D,5/15/23,1,9,1,3,veg,0,,,,,,,,,,,
ARB-7E,5/15/23,1,17,2,10,veg,0,,,,,,,,,,,
ARB-7F,5/15/23,1,17,3,15,veg,0,,,,,,,,,,,
ARB-8A,5/15/23,1,4,1,4,veg,0,,,,,,,,,,,
ARB-8B,5/15/23,1,7,1,5,veg,0,,,,,,,,,,,
ARB-8C,5/15/23,1,16,2,13,veg,0,,,,,,,,,,,
ARB-12A,5/15/23,1,10,4,15,veg,0,,,,,,,,,,,
ARB-15B,5/15/23,1,10,3,13,veg,0,,,,,,,,,,,
ARB-15C,5/15/23,1,15,2,11,veg,0,,,,,,,,,,,
CAH-5A,5/15/23,1,12,5,19,veg,0,,,,,,,,,,,
CAH-5B,5/15/23,1,15,4,25,veg,0,,,,,,,,,,,
CAH-5C,5/15/23,1,12,2,10,veg,0,,,,,,,,,,,
CAH-8A,5/15/23,1,15,4,18,veg,0,,,,,,,,,,,
CAH-8B,5/15/23,1,12,3,18,veg,0,,,,,,,,,,,
CAH-8C,5/15/23,1,12,4,21,veg,0,,,,,,,,,,,
CAH-8E,5/15/23,1,13,5,20,veg,0,,,,,,,,,,,
CAH-9A,5/15/23,1,13,2,13,veg,0,,,,,,,,,,,
CAH-11B,5/15/23,1,4,1,4,veg,,,,,,,,,,,,
CAH-12B,5/15/23,1,13,6,25,veg,0,,,,,,,,,,,
CAH-12C,5/15/23,1,18,4,29,bud,10,,,,,,,,,,,
CAH-14A,5/15/23,1,7,3,14,veg,0,,,,,,,,,,,
CAH-14B,5/15/23,1,13,5,22,veg,0,,,,,,,,,,,
MOR-1A,,1,6,1,6,veg,,,,,,,,,,,,
MOR-1B,5/15/23,1,7,1,4,veg,0,,,,,,,,,,,
MOR-1C,5/15/23,1,13,1,6,veg,0,,,,,,,,,,,
MOR-1D,5/15/23,1,7,2,4,veg,0,,,,,,,,,,,
MOR-2A,5/15/23,1,5,1,5,veg,0,,,,,,,,,,,
MOR-2B,5/15/23,1,10,1,4,veg,0,,,,,,,,,,,
MOR-4A,5/15/23,1,4,1,5,veg,,,,,,,,,,,,
MOR-4C,5/15/23,1,8,1,4,veg,0,,,,,,,,,,,
MOR-4D,5/15/23,1,8,1,5,veg,0,,,,,,,,,,,
MOR-4E,5/15/23,1,7,1,4,veg,0,,,,,,,,,,,
MOR-4F,5/15/23,1,10,1,4,veg,0,,,,,,,,,,,
MOR-6A,5/15/23,1,14,1,6,veg,0,,,,,,,,,,,
MOR-6C,5/15/23,1,7,1,5,veg,0,,,,,,,,,,,
MOR-6D,5/15/23,1,11,2,10,veg,0,,,,,,,,,,,
MOR-6G,5/15/23,1,5,1,4,veg,,,,,,,,,,,,
MOR-8A,5/15/23,1,4,1,2,veg,,,,,,,,,,,,
MOR-8B,,1,2,1,4,veg,,,,,,,,,,,,
REF-1B,5/15/23,1,11,1,6,veg,0,,,,,,,,,,,
REF-1C,5/15/23,1,11,1,5,veg,0,,,,,,,,,,,
REF-1G,5/15/23,1,9,1,5,veg,0,,,,,,,,,,,
REF-1H,5/15/23,1,6,1,3,veg,,,,,,,,,,,,
REF-2A,5/15/23,1,9,2,10,veg,,,,,,,,,,,,
REF-4B,5/15/23,1,5,2,10,veg,,,,,,,,,,,,
REF-5A,5/15/23,1,14,1,7,veg,0,,,,,,,,,,,
REF-5B,5/15/23,1,9,1,4,veg,0,,,,,,,,,,,
REF-5C,5/15/23,1,9,1,5,veg,0,,,,,,,,,,,
REF-5D,5/15/23,1,12,1,6,veg,0,,,,,,,,,,,
REF-5F,5/15/23,1,8,1,6,veg,0,,,,,,,,,,,
REF-6A,5/15/23,1,6,1,5,veg,0,,,,,,,,,,,
REF-6C,5/15/23,1,7,1,5,veg,0,,,,,,,,,,,
REF-6D,5/15/23,1,6,2,12,veg,0,,,,,,,,,,,
REF-6E,5/15/23,1,3,2,10,veg,,,,,,,,,,,,
REF-6J,,1,9,1,5,veg,,,,,,,,,,,,
REF-7B,5/15/23,1,7,1,6,veg,0,,,,,,,,,,,
REF-7C,5/15/23,1,6,2,9,veg,,,,,,,,,,,,
HIX-1C,,1,1,1,3,veg,0,,,,,,,,,,,
HIX-1D,5/15/23,1,8,1,5,veg,0,,,,,,,,,,,
HIX-1E,5/15/23,1,6,1,6,veg,0,,,,,,,,,,,
HIX-1G,5/15/23,1,6,2,10,veg,0,,,,,,,,,,,
HIX-3E,5/15/23,1,8,1,6,veg,0,,,,,,,,,,,
HIX-4C,5/15/23,1,10,2,7,veg,0,,,,,,,,,,,
HIX-4D,5/15/23,1,8,2,4,veg,0,,,,,,,,,,,
I1-3B,,1,5,2,8,veg,0,,,,,,,,,,,
I1-4B,5/15/23,1,10,3,10,veg,0,,,,,,,,,,,
I1-5A,5/15/23,1,18,3,14,veg,0,,,,,,,,,,,
I1-5B,,1,2,2,7,veg,0,,,,,,,,,,,
I1-6A,5/15/23,1,13,2,10,veg,0,,,,,,,,,,,
I2-1A,5/15/23,1,12,1,5,veg,0,,,,,,,,,,,
I2-1B,,1,7,1,6,veg,0,,,,,,,,,,,
I2-2A,5/15/23,1,16,4,21,bud,5,,,,,,,,,,,
I2-5B,5/15/23,1,13,1,6,veg,0,,,,,,,,,,,
I2-7B,5/15/23,1,10,4,14,veg,0,,,,,,,,,,,
I3-2C,5/15/23,1,14,1,6,veg,,,,,,,,,,,,
I3-3C,5/15/23,1,15,4,16,veg,0,,,,,,,,,,,
I3-4A,5/15/23,1,9,3,12,veg,0,,,,,,,,,,,
I3-4B,5/15/23,1,12,5,20,bud,5,,,,,,,,,,,
I3-5C,5/15/23,1,15,1,5,veg,0,,,,,,,,,,,
I3-6C,5/15/23,1,9,2,6,veg,0,,,,,,,,,,,
I3-6D,5/15/23,1,5,2,10,veg,0,,,,,,,,,,,
I4-3B,5/15/23,1,13,1,8,veg,,,,,,,,,,,,
N1-1A,5/15/23,1,5,1,4,veg,,,,,,,,,,,,
N1-5A,5/15/23,1,11,2,12,bud,1,,,,,,,,,,,
N1-6A,5/15/23,1,4,2,8,veg,,,,,,,,,,,,
N2-4A,5/15/23,1,13,2,12,veg,0,,,,,,,,,,,
N2-5A,5/15/23,1,4,1,4,veg,0,,,,,,,,,,,
N2-5B,5/15/23,1,7,2,7,veg,0,,,,,,,,,,,
N2-5C,5/15/23,1,9,1,4,veg,0,,,,,,,,,,,
N2-5D,5/15/23,1,10,2,9,veg,0,,,,,,,,,,,
N2-5E,5/15/23,1,14,1,6,veg,0,,,,,,,,,,,
N2-6A,5/15/23,1,7,1,6,veg,0,,,,,,,,,,,
N2-6B,5/15/23,1,10,1,6,veg,0,,,,,,,,,,,
N7B-4A,5/15/23,1,7,1,5,veg,0,,,,,,,,,,,
