Well,Sample,Abs,Conc (mg/mL
A01,Blank1,0.3242,0
B01,Blank1,0.4011,0
C01,Blank1,0.4214,0
A02,Std0001,0.6505,0.008
B02,Std0001,0.8163,0.008
C02,Std0001,0.6339,0.008
A03,Std0002,1.0743,0.016
B03,Std0002,1.0537,0.016
C03,Std0002,1.0657,0.016
A04,Std0003,1.3812,0.024
B04,Std0003,1.4098,0.024
C04,Std0003,1.4575,0.024
A05,Std0004,1.5869,0.032
B05,Std0004,1.756,0.032
C05,Std0004,1.6827,0.032
A06,Std0005,1.8624,0.04
B06,Std0005,1.8771,0.04
C06,Std0005,2.2879,0.04
F08,Un0001,0.3293,
G08,Un0001,0.5043,
H08,Un0001,0.4077,
F09,Un0002,0.4746,
G09,Un0002,0.4361,
H09,Un0002,0.4197,
F10,Un0003,0.4896,
G10,Un0003,0.5447,
H10,Un0003,0.487,
F11,Un0004,0.393,
G11,Un0004,0.5214,
H11,Un0004,0.5134,
F12,Un0005,0.5613,
G12,Un0005,0.5379,
H12,Un0005,0.5216,
C01,Blank1,0.3527,0
D01,Blank1,0.3758,0
C02,Std0001,0.5432,0.008
D02,Std0001,0.7281,0.008
C03,Std0002,1.0091,0.016
D03,Std0002,0.9199,0.016
C04,Std0003,1.3318,0.024
D04,Std0003,1.2628,0.024
C05,Std0004,1.5935,0.032
D05,Std0004,1.5269,0.032
C06,Std0005,1.8639,0.04
D06,Std0005,1.8345,0.04
