Collect_Label,Sample_Label,Weight,Notes
I3 - Plant 1,81,0.021,
PS2,11,0.0156,
Flat3,163,0.0162,
I1 - Plant 15,194,0.0163,
N8 - Plant 9,24,0.0164,
I1 - Plant 2,195,0.0166,
N7A - Plant 6,210,0.0168,
I1 - Plant 13,192,0.0169,
I2 - Plant 15,173,0.017,
N5 - Plant 10,33,0.017,
I2 - Plant 6,178,0.0171,
N5 - Plant 11,34,0.0171,
N8 - Plant 6,21,0.0171,
I2 - Plant 9,181,0.0172,
N4 - Plant 2,107,0.0173,
N7A - Plant 10,204,0.0175,
N8 - Plant 2,17,0.0175,
I1 - Plant 7,200,0.0176,
Mor-5,55,0.0176,
Ref-7,73,0.0176,
Plant2_Pop Dudu,44,0.0177,
N7A - Plant 11,205,0.0179,
N8 - Plant 10,16,0.0179,
Hix-7,7,0.018,
N3 - Plant 3,27,0.0181,
N7A - Plant 5,209,0.0181,
Ich6,65,0.0183,
N4 - Plant 3,108,0.0183,
Mor-6,56,0.0184,
UWM-4,224,0.0184,
Col-1,75,0.0185,
Hix-5,5,0.0186,
Mor-3,53,0.0186,
TA2,127,0.0186,
I3 - Plant 11,83,0.0187,
Mor-10,50,0.0187,
Plant6_Pop Dudu,48,0.0187,
PS5,14,0.0187,
TA5 (TU51),129,0.0187,
Deer-Run-3,235,0.0188,
Plant-7-Arb,219,0.0188,
I1 - Plant 9,202,0.0189,
Mor-2,52,0.0189,
TA6,130,0.0189,
Ich4,63,0.019,
N2 - Plant 9,141,0.019,
Flat1,161,0.0191,
Ich5,64,0.0191,
I2 - Plant 4,176,0.0192,
N3 - Plant 6,30,0.0192,
Culvan-3,229,0.0193,
N5 - Plant 4,37,0.0193,
Col-3,77,0.0194,
Flat6,166,0.0194,
Mor-11,51,0.0194,
N1 - Plant 5,148,0.0194,
N3 - Plant 1,25,0.0194,
N3 - Plant 7,31,0.0194,
N5 - Plant 9,42,0.0194,
Plant-14-CAH,184,0.0194,
I2 - Plant 5,177,0.0195,
I4 - Plant 5,101,0.0195,
