Well,Abs,Conc (mg/mL),Plate
B01,0.2703,0.0,2
A01,0.2714,0.0,2
C01,0.2784,0.0,2
B01,0.2969,0.0,1
C01,0.2981,0.0,1
A01,0.3026,0.0,1
C02,0.536,0.008,1
C02,0.594,0.008,2
A02,0.6275,0.008,2
A03,0.6514,0.008,2
A02,0.667,0.008,1
B02,0.6739,0.008,1
A03,1.0061,0.016,1
B02,1.0113,0.016,2
C03,1.0115,0.016,2
B03,1.0189,0.016,2
C03,1.0552,0.016,1
B03,1.0799,0.016,1
A04,1.3653,0.024,2
C04,1.3849,0.024,2
B04,1.3966,0.024,2
B04,1.4242,0.024,1
A04,1.4261,0.024,1
C04,1.4428,0.024,1
B06,1.6037,0.04,2
C05,1.6614,0.032,2
C05,1.7115,0.032,1
B05,1.726,0.032,2
A05,1.7371,0.032,1
B05,1.7528,0.032,1
A05,1.7673,0.032,2
C06,1.8998,0.04,2
C06,1.9807,0.04,1
A06,2.0783,0.04,1
B06,2.104,0.04,1
A06,2.179,0.04,2
