Well,Sample,Abs,Plate
A01,Un0001,0.296,1
A02,Un0002,0.2948,1
A03,Un0003,0.2941,1
A04,Un0004,0.2883,1
A05,Un0005,0.2923,1
A06,Un0006,0.2917,1
A07,Un0007,0.2897,1
A08,Un0008,0.2954,1
A09,Un0009,0.2963,1
A10,Un0010,0.3069,1
A11,Un0011,0.2898,1
A12,Un0012,0.3017,1
B12,Un0024,0.2829,1
B11,Un0023,0.3001,1
B10,Un0022,0.2854,1
B09,Un0021,0.2845,1
B08,Un0020,0.2888,1
B07,Un0019,0.2908,1
B06,Un0018,0.2907,1
B05,Un0017,0.3093,1
B04,Un0016,0.2897,1
B03,Un0015,0.293,1
B02,Un0014,0.2951,1
B01,Un0013,0.2908,1
C01,Un0025,0.2801,1
C02,Un0026,0.1541,1
C03,Un0027,0.2829,1
C04,Un0028,0.2898,1
C05,Un0029,0.2388,1
C06,Un0030,0.2798,1
C07,Un0031,0.2931,1
C08,Un0032,0.1766,1
C09,Un0033,0.2938,1
C10,Un0034,0.2791,1
C11,Un0035,0.275,1
C12,Un0036,0.2887,1
D12,Un0048,0.2902,1
D11,Un0047,0.2962,1
D10,Un0046,0.2892,1
D09,Un0045,0.3138,1
D08,Un0044,0.2941,1
D07,Un0043,0.2957,1
D06,Un0042,0.288,1
D05,Un0041,0.2934,1
D04,Un0040,0.2892,1
D03,Un0039,0.2998,1
D02,Un0038,0.3062,1
D01,Un0037,0.2861,1
E01,Un0049,0.2914,1
E02,Un0050,0.3084,1
E03,Un0051,0.2893,1
E04,Un0052,0.3,1
E05,Un0053,0.2946,1
E06,Un0054,0.2876,1
E07,Un0055,0.3508,1
E08,Un0056,0.2941,1
E09,Un0057,0.2871,1
E10,Un0058,0.2963,1
E11,Un0059,0.2908,1
E12,Un0060,0.283,1
F12,Un0072,0.3117,1
F11,Un0071,0.1843,1
F10,Un0070,0.2944,1
F09,Un0069,0.2982,1
F08,Un0068,0.1796,1
F07,Un0067,0.2935,1
F06,Un0066,0.3089,1
F05,Un0065,0.2872,1
F04,Un0064,0.2912,1
F03,Un0063,0.2941,1
F02,Un0062,0.2862,1
F01,Un0061,0.3016,1
G01,Un0073,0.2998,1
G02,Un0074,0.2922,1
G03,Un0075,0.2925,1
G04,Un0076,0.3062,1
G05,Un0077,0.2938,1
G06,Un0078,0.2921,1
G07,Un0079,0.2974,1
G08,Un0080,0.3264,1
G09,Un0081,0.2983,1
G10,Un0082,0.2979,1
G11,Un0083,0.2844,1
G12,Un0084,0.2997,1
H12,Un0096,0.3069,1
H11,Un0095,0.3058,1
H10,Un0094,0.3275,1
H09,Un0093,0.3157,1
H08,Un0092,0.334,1
H07,Un0091,0.2957,1
H06,Un0090,0.2949,1
H05,Un0089,0.3058,1
H04,Un0088,0.2978,1
H03,Un0087,0.313,1
H02,Un0086,0.2871,1
H01,Un0085,0.2909,1
A01,Un0001,0.2744,2
A02,Un0002,0.272,2
A03,Un0003,0.2866,2
A04,Un0004,0.2817,2
A05,Un0005,0.2974,2
A06,Un0006,0.2781,2
A07,Un0007,0.2775,2
A08,Un0008,0.2754,2
A09,Un0009,0.2784,2
A10,Un0010,0.2745,2
A11,Un0011,0.2733,2
A12,Un0012,0.2496,2
B12,Un0024,0.2659,2
B11,Un0023,0.266,2
B10,Un0022,0.2645,2
B09,Un0021,0.2788,2
B08,Un0020,0.2843,2
B07,Un0019,0.2715,2
B06,Un0018,0.2785,2
B05,Un0017,0.2763,2
B04,Un0016,0.3007,2
B03,Un0015,0.3013,2
B02,Un0014,0.2659,2
B01,Un0013,0.2652,2
C01,Un0025,0.2776,2
C02,Un0026,0.217,2
C03,Un0027,0.2928,2
C04,Un0028,0.2701,2
C05,Un0029,0.1885,2
C06,Un0030,0.2719,2
C07,Un0031,0.2923,2
C08,Un0032,0.2015,2
C09,Un0033,0.2829,2
C10,Un0034,0.2617,2
C11,Un0035,0.1832,2
C12,Un0036,0.2624,2
D12,Un0048,0.2548,2
D11,Un0047,0.2727,2
D10,Un0046,0.2594,2
D09,Un0045,0.285,2
D08,Un0044,0.274,2
D07,Un0043,0.2628,2
D06,Un0042,0.2535,2
D05,Un0041,0.2727,2
D04,Un0040,0.2744,2
D03,Un0039,0.2737,2
D02,Un0038,0.2793,2
D01,Un0037,0.2769,2
E01,Un0049,0.2701,2
E02,Un0050,0.2538,2
E03,Un0051,0.2617,2
E04,Un0052,0.2603,2
E05,Un0053,0.2779,2
E06,Un0054,0.2717,2
E07,Un0055,0.2476,2
E08,Un0056,0.2682,2
E09,Un0057,0.2655,2
E10,Un0058,0.2662,2
E11,Un0059,0.2529,2
E12,Un0060,0.2567,2
F12,Un0072,0.2548,2
F11,Un0071,0.1685,2
F10,Un0070,0.2636,2
F09,Un0069,0.2479,2
F08,Un0068,0.2431,2
F07,Un0067,0.2634,2
F06,Un0066,0.2594,2
F05,Un0065,0.242,2
F04,Un0064,0.2632,2
F03,Un0063,0.256,2
F02,Un0062,0.1692,2
F01,Un0061,0.2789,2
G01,Un0073,0.2447,2
G02,Un0074,0.2609,2
G03,Un0075,0.2517,2
G04,Un0076,0.2544,2
G05,Un0077,0.254,2
G06,Un0078,0.2621,2
G07,Un0079,0.2692,2
G08,Un0080,0.2553,2
G09,Un0081,0.2593,2
G10,Un0082,0.2569,2
G11,Un0083,0.2587,2
G12,Un0084,0.2587,2
H12,Un0096,0.2852,2
H11,Un0095,0.2843,2
H10,Un0094,0.2404,2
H09,Un0093,0.2863,2
H08,Un0092,0.2828,2
H07,Un0091,0.2545,2
H06,Un0090,0.2607,2
H05,Un0089,0.261,2
H04,Un0088,0.2582,2
H03,Un0087,0.2667,2
H02,Un0086,0.2638,2
H01,Un0085,0.272,2
