Date,Region,Pop,Plant_ID,Height,Herbivory,Phenology,Fl_herm,Fl_male,Buds,L_area,L_weight,Trichomes,Spines,Roots,Pop_area,Plant_cover,Latitude,Longitude,Collect_Label
Jun-15-2022,Mid,1,1,25,1,V,0,0,0,1.19,0.0111,372,10,Yes,1200,1,35.756115,-86.910418,I1 - Plant 1
Jun-15-2022,Mid,1,2,33,1,B,0,0,9,2.323,0.0206,252,11,Yes,1200,1,35.756115,-86.910418,I1 - Plant 2
Jun-15-2022,Mid,1,3,37,2,Fl,1,0,17,3.179,0.0309,180,11,Yes,1200,1,35.756115,-86.910418,I1 - Plant 3
Jun-15-2022,Mid,1,4,48,3,B,0,0,17,3.376,0.034,184,9,Yes,1200,1,35.756115,-86.910418,I1 - Plant 4
Jun-15-2022,Mid,1,5,36,0,B,0,0,5,1.647,0.0138,176,15,Yes,1200,1,35.756115,-86.910418,I1 - Plant 5
Jun-15-2022,Mid,1,6,24,0,B,0,0,7,2.196,0.0105,124,5,Yes,1200,1,35.756115,-86.910418,I1 - Plant 6
Jun-15-2022,Mid,1,7,30,5,F,0,0,14,2.029,0.0182,192,16,No,1200,1,35.756115,-86.910418,I1 - Plant 7
Jun-15-2022,Mid,1,8,32,2,Fl,2,0,19,2.073,0.0164,140,12,No,1200,1,35.756115,-86.910418,I1 - Plant 8
Jun-15-2022,Mid,1,9,25,1,V,0,0,0,2.449,0.0193,96,17,No,1200,1,35.756115,-86.910418,I1 - Plant 9
Jun-15-2022,Mid,1,10,39,1,B,0,0,12,2.446,0.0208,104,7,No,1200,1,35.756115,-86.910418,I1 - Plant 10
Jun-15-2022,Mid,1,11,23,0,Fl,1,0,8,1.583,0.0106,136,10,No,1200,1,35.756115,-86.910418,I1 - Plant 11
Jun-15-2022,Mid,1,12,46,2,Fl,1,0,15,2.347,0.0254,152,12,No,1200,1,35.756115,-86.910418,I1 - Plant 12
Jun-15-2022,Mid,1,13,49,0,Fl,1,0,32,2.92,0.0265,92,13,No,1200,1,35.756115,-86.910418,I1 - Plant 13
Jun-15-2022,Mid,1,14,33,1,Fl,1,0,15,2.565,0.02,104,8,No,1200,1,35.756115,-86.910418,I1 - Plant 14
Jun-15-2022,Mid,1,15,31,0,Fl,2,0,14,2.462,0.0165,116,13,No,1200,1,35.756115,-86.910418,I1 - Plant 15
Jun-15-2022,Mid,2,1,33,40,V,0,0,0,1.689,0.0145,176,8,Yes,450,1,38.090354,-85.635227,I2 - Plant 1
Jun-15-2022,Mid,2,2,40,10,B,0,0,13,1.296,0.0099,164,12,Yes,450,1,38.090354,-85.635227,I2 - Plant 2
Jun-15-2022,Mid,2,3,29,50,V,0,0,0,1.073,0.0068,168,13,No,450,1,38.090354,-85.635227,I2 - Plant 3
Jun-15-2022,Mid,2,4,32,5,B,0,0,4,2.055,0.0109,116,8,Yes,450,1,38.090354,-85.635227,I2 - Plant 4
Jun-15-2022,Mid,2,5,48,10,FL,1,0,13,1.456,0.0094,196,13,Yes,450,1,38.090354,-85.635227,I2 - Plant 5
Jun-15-2022,Mid,2,6,30,0,V,0,0,0,1.358,0.0073,232,1,Yes,450,1,38.090354,-85.635227,I2 - Plant 6
Jun-15-2022,Mid,2,7,31,2,V,0,0,0,1.54,0.0094,240,10,Yes,450,1,38.090354,-85.635227,I2 - Plant 7
Jun-15-2022,Mid,2,8,42,0,V,0,0,0,3.256,0.0258,292,6,No,450,1,38.090354,-85.635227,I2 - Plant 8
Jun-15-2022,Mid,2,9,35,0,V,0,0,0,2.323,0.0112,164,14,No,450,1,38.090354,-85.635227,I2 - Plant 9
Jun-15-2022,Mid,2,10,46,0,V,0,0,0,1.951,0.0137,168,14,No,450,1,38.090354,-85.635227,I2 - Plant 10
Jun-15-2022,Mid,2,11,28,3,V,0,0,0,1.357,0.0077,184,12,No,450,1,38.090354,-85.635227,I2 - Plant 11
Jun-15-2022,Mid,2,12,25,1,V,0,0,0,1.316,0.0077,112,12,No,450,1,38.090354,-85.635227,I2 - Plant 12
Jun-15-2022,Mid,2,13,25,0,V,0,0,0,2.622,0.0149,144,10,No,450,1,38.090354,-85.635227,I2 - Plant 13
Jun-15-2022,Mid,2,14,37,0,V,0,0,0,2.613,0.015,100,8,No,450,1,38.090354,-85.635227,I2 - Plant 14
Jun-15-2022,Mid,2,15,35,0,V,0,0,0,2.361,0.0168,124,11,No,450,1,38.090354,-85.635227,I2 - Plant 15
Jun-15-2022,Mid,3,1,52,2,B,0,0,22,2.483,0.0211,264,13,Yes,200,35,38.21292,-85.477407,I3 - Plant 1
Jun-15-2022,Mid,3,2,47,4,B,0,0,12,2.086,0.0136,116,18,Yes,200,35,38.21292,-85.477407,I3 - Plant 2
Jun-15-2022,Mid,3,3,39,2,B,0,0,10,1.895,0.0146,136,8,Yes,200,35,38.21292,-85.477407,I3 - Plant 3
Jun-15-2022,Mid,3,4,43,1,B,0,0,7,1.678,0.0156,180,17,Yes,200,35,38.21292,-85.477407,I3 - Plant 4
Jun-15-2022,Mid,3,5,46,2,B,0,0,9,1.606,0.0153,244,30,Yes,200,35,38.21292,-85.477407,I3 - Plant 5
Jun-15-2022,Mid,3,6,51,1,B,0,0,16,3.639,0.0374,116,28,Yes,200,35,38.21292,-85.477407,I3 - Plant 6
Jun-15-2022,Mid,3,7,42,5,B,0,0,20,2.214,0.0217,148,14,No,200,35,38.21292,-85.477407,I3 - Plant 7
Jun-15-2022,Mid,3,8,34,2,B,0,0,5,2.36,0.0237,192,22,No,200,35,38.21292,-85.477407,I3 - Plant 8
Jun-15-2022,Mid,3,9,55,2,B,0,0,8,1.689,0.0181,200,6,No,200,35,38.21292,-85.477407,I3 - Plant 9
Jun-15-2022,Mid,3,10,38,1,V,0,0,0,2.449,0.018,272,10,No,200,35,38.21292,-85.477407,I3 - Plant 10
Jun-15-2022,Mid,3,11,53,7,B,0,0,2,1.371,0.0091,204,13,No,200,35,38.21292,-85.477407,I3 - Plant 11
Jun-15-2022,Mid,3,12,48,5,B,0,0,7,1.29,0.0129,140,13,No,200,35,38.21292,-85.477407,I3 - Plant 12
Jun-15-2022,Mid,3,13,37,3,Fl,2,0,4,2.44,0.0201,212,9,No,200,35,38.21292,-85.477407,I3 - Plant 13
Jun-15-2022,Mid,3,14,38,3,Fl,2,0,5,2.834,0.0221,144,10,No,200,35,38.21292,-85.477407,I3 - Plant 14
Jun-15-2022,Mid,3,15,43,4,B,0,0,14,1.208,0.0094,144,10,No,200,35,38.21292,-85.477407,I3 - Plant 15
Jun-15-2022,Mid,4,1,42,0,V,0,0,0,3.668,0.0245,110,15,Yes,50,1,39.881442,-86.32035,I4 - Plant 1
Jun-15-2022,Mid,4,2,34,0,Fl,1,0,3,1.765,0.0104,91,4,Yes,50,1,39.881442,-86.32035,I4 - Plant 2
Jun-15-2022,Mid,4,3,42,0,B,0,0,7,1.896,0.0131,87,5,Yes,50,1,39.881442,-86.32035,I4 - Plant 3
Jun-15-2022,Mid,4,4,20,0,V,0,0,0,1.66,0.0057,92,3,Yes,50,1,39.881442,-86.32035,I4 - Plant 4
Jun-15-2022,Mid,4,5,36,0,Fl,1,0,8,2.171,0.0115,112,14,Yes,50,1,39.881442,-86.32035,I4 - Plant 5
Jun-15-2022,Mid,4,6,35,2,V,0,0,0,2.14,0.0081,116,2,Yes,50,1,39.881442,-86.32035,I4 - Plant 6
Jun-15-2022,Mid,4,7,25,0,V,0,0,0,2.941,0.0144,108,5,Yes,50,1,39.881442,-86.32035,I4 - Plant 7
Jun-15-2022,Mid,4,8,29,0,V,0,0,0,2.295,0.0106,90,4,No,50,1,39.881442,-86.32035,I4 - Plant 8
Jun-15-2022,Mid,4,9,23,0,V,0,0,0,1.004,0.045,146,6,No,50,1,39.881442,-86.32035,I4 - Plant 9
Jun-15-2022,Mid,4,10,56,0,V,0,0,0,2.317,0.0103,108,9,No,50,1,39.881442,-86.32035,I4 - Plant 10
Oct-15-2022,Mid,5,1,70,3,V,0,0,0,1.984,0.0107,230,6,Yes,100,5,35.010332,-85.364585,Ref-1
