Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
QUI-1,QUI,6/7/23,30,11,fl,1,0,0,15,0,7,0,13,125,2.001,0.0106,
QUI-2,QUI,6/7/23,28,8,fl,0,1,0,8,0,10,0,18,148,1.684,0.0094,
QUI-3,QUI,6/7/23,27,12,fl,1,1,0,14,0,15,0,13,123,1.516,0.0073,
QUI-4,QUI,6/7/23,29,6,fl,1,0,0,9,0,8,0,22,116,1.679,0.0083,
QUI-5,QUI,6/7/23,27,6,fl,2,0,0,11,0,5,0,48,97,1.429,0.0064,
QUI-6,QUI,6/7/23,26,6,fl,2,0,0,11,0,10,0,20,146,1.046,0.0057,
QUI-7,QUI,6/7/23,28,7,fl,2,0,0,13,0,5,0,11,85,0.885,0.0037,
QUI-8,QUI,6/7/23,41,8,fl,2,1,0,20,0,3,0,15,111,2.794,0.0144,
QUI-9,QUI,6/7/23,24,7,fl,3,0,0,37,0,6,0,18,141,1.286,0.0064,
QUI-10,QUI,6/7/23,22,9,fl,0,3,0,6,0,3,0,22,116,2.477,0.0136,
QUI-11,QUI,6/7/23,23,11,fl,2,0,0,22,0,7,0,13,151,1.492,0.0069,
QUI-12,QUI,6/7/23,23,9,fl,1,0,0,17,0,25,0,24,125,1.831,0.0091,
QUI-13,QUI,6/7/23,23,11,fl,0,2,0,16,0,10,0,18,133,1.697,0.0074,
QUI-14,QUI,6/7/23,22,9,fl,1,0,0,21,0,6,0,16,135,2.201,0.0131,
QUI-15,QUI,6/7/23,25,20,fl,1,0,0,25,0,20,0,12,114,2.17,0.0102,
QUI-16,QUI,6/7/23,27,12,fl,2,0,0,12,0,10,0,12,82,1.364,0.0103,
QUI-17,QUI,6/7/23,24,10,fl,2,0,0,16,0,15,0,18,90,2.178,0.0106,
QUI-18,QUI,6/7/23,28,10,fl,2,0,0,16,0,8,0,20,88,1.494,0.0072,
QUI-19,QUI,6/7/23,23,7,fr,0,1,0,15,0,20,0,30,93,1.209,0.0055,
QUI-20,QUI,6/7/23,24,6,fr,0,1,0,15,0,5,0,16,92,1.53,0.0075,
QUI-21,QUI,6/7/23,21,7,b,0,0,0,8,0,15,0,36,288,1.878,0.0108,
QUI-22,QUI,6/7/23,28,12,b,0,0,0,19,0,40,0,16,111,0.961,0.0052,
QUI-23,QUI,6/7/23,25,5,b,0,0,0,10,0,2,0,12,,,,
QUI-24,QUI,6/7/23,29,12,fl,1,0,0,28,0,35,0,20,98,1.725,0.0084,
QUI-25,QUI,6/7/23,25,9,b,0,0,0,9,0,4,0,12,,,,
