"","Pop","NPP_y"
"1","ARB",0.915814830006624
"2","BEC",0.808856555181302
"3","BR",1.03383742449305
"4","CAH",0.824240744964698
"5","COL",0.853511654790043
"6","COO",0.876689840962693
"7","DUDU",0.926862444503708
"8","ECO",1.14432910151565
"9","FLAT",0.843524270232187
"10","GRE",0.878308592577971
"11","HIX",0.903776442282196
"12","I1",0.819762502349284
"13","I2",0.796644957312164
"14","I3",0.808640512536201
"15","I4",0.815168556917042
"16","ICH",0.843145896053402
"17","KAN",0.769386625656689
"18","N1",0.758827205325261
"19","N10",0.812137224861338
"20","N2",0.817512649412381
"21","N3",0.803423861870733
"22","N4",0.801752268362528
"23","N5",0.786909191246879
"24","N6",0.779356524137686
"25","N7",0.782026272451422
"26","N8",0.774626114549548
"27","N9",0.812212198596335
"28","OAK",0.774860853820546
"29","PLA",0.754866711466248
"30","PS",0.843909902803986
"31","QUI",0.890437843854007
"32","REF",0.807646935007178
"33","SHE",0.868186929001653
"34","SUW",1.1631356508309
"35","TAL",0.918492725975131
"36","TU",0.861716001278141
