"","Pop","Year","image_date","NPP_g"
"1","ARB",2013,2013-05-01,0.03159
"2","ARB",2013,2013-05-09,0.05126875
"3","ARB",2013,2013-05-17,0.0429
"4","ARB",2013,2013-05-25,0.0446047619047619
"5","ARB",2013,2013-06-10,0.0377823529411765
"6","ARB",2013,2013-06-18,0.0370380952380952
"7","ARB",2013,2013-06-26,0.0295764705882353
"8","ARB",2013,2013-07-12,0.0372571428571429
"9","ARB",2013,2013-07-20,0.028325
"10","ARB",2013,2013-07-28,0.0242388888888889
"11","ARB",2014,2014-05-01,0.05621
"12","ARB",2014,2014-05-17,0.04866
"13","ARB",2014,2014-05-25,0.02728125
"14","ARB",2014,2014-06-02,0.0366
"15","ARB",2014,2014-06-10,0.035375
"16","ARB",2014,2014-06-26,0.02485
"17","ARB",2014,2014-07-04,0.03635
"18","ARB",2014,2014-07-12,0.02118
"19","ARB",2014,2014-07-20,0.0290714285714286
"20","ARB",2014,2014-07-28,0.02176
"21","ARB",2015,2015-05-01,0.0493421052631579
"22","ARB",2015,2015-05-09,0.0289
"23","ARB",2015,2015-05-17,0.0472157894736842
"24","ARB",2015,2015-06-10,0.0314611111111111
"25","ARB",2015,2015-06-18,0.0247555555555556
"26","ARB",2015,2015-06-26,0.02463125
"27","ARB",2015,2015-07-04,0.0223384615384615
"28","ARB",2015,2015-07-12,0.0029
"29","ARB",2015,2015-07-20,0.00428571428571429
"30","ARB",2015,2015-07-28,0.00508
"31","ARB",2016,2016-05-08,0.0500111111111111
"32","ARB",2016,2016-05-16,0.0457941176470588
"33","ARB",2016,2016-05-24,0.0372421052631579
"34","ARB",2016,2016-06-01,0.0303857142857143
"35","ARB",2016,2016-06-09,0.024675
"36","ARB",2016,2016-06-17,0.0256111111111111
"37","ARB",2016,2016-06-25,0.00560625
"38","ARB",2016,2016-07-11,0.0120454545454545
"39","ARB",2016,2016-07-19,-0.00586470588235294
"40","ARB",2016,2016-07-27,0.000283333333333333
"41","ARB",2017,2017-05-01,0.04898
"42","ARB",2017,2017-05-09,0.0407
"43","ARB",2017,2017-05-17,0.0341076923076923
"44","ARB",2017,2017-05-25,0.037165
"45","ARB",2017,2017-06-02,0.0315785714285714
"46","ARB",2017,2017-06-10,0.0334933333333333
"47","ARB",2017,2017-06-26,0.0403315789473684
"48","ARB",2017,2017-07-04,0.0272214285714286
"49","ARB",2017,2017-07-12,0.02315
"50","ARB",2017,2017-07-20,0.0120583333333333
"51","ARB",2018,2018-05-01,0.050135
"52","ARB",2018,2018-05-09,0.0321631578947368
"53","ARB",2018,2018-05-17,0.029
"54","ARB",2018,2018-06-02,0.03751
"55","ARB",2018,2018-06-10,0.0349083333333333
"56","ARB",2018,2018-06-18,0.0218666666666667
"57","ARB",2018,2018-06-26,0.0225
"58","ARB",2018,2018-07-04,0.016
"59","ARB",2018,2018-07-12,0.01715
"60","ARB",2018,2018-07-20,0.0171368421052632
"61","ARB",2018,2018-07-28,0.00896111111111111
"62","ARB",2019,2019-05-01,0.0408
"63","ARB",2019,2019-05-09,0.0406238095238095
"64","ARB",2019,2019-05-25,0.0413052631578947
"65","ARB",2019,2019-06-02,0.0279611111111111
"66","ARB",2019,2019-06-10,0.04518
"67","ARB",2019,2019-06-18,0.0249705882352941
"68","ARB",2019,2019-06-26,0.02134
"69","ARB",2019,2019-07-04,0.0242090909090909
"70","ARB",2019,2019-07-20,0.0298692307692308
"71","ARB",2019,2019-07-28,0.0162473684210526
"72","ARB",2020,2020-05-08,0.050905
"73","ARB",2020,2020-05-16,0.0351
"74","ARB",2020,2020-05-24,0.0361066666666667
"75","ARB",2020,2020-06-01,0.0380857142857143
"76","ARB",2020,2020-06-09,0.0528578947368421
"77","ARB",2020,2020-07-03,0.0239
"78","ARB",2020,2020-07-11,0.0276380952380952
"79","ARB",2020,2020-07-19,0.0233611111111111
"80","ARB",2020,2020-07-27,0.02684
"81","ARB",2021,2021-05-01,0.04773
"82","ARB",2021,2021-05-09,0.04933
"83","ARB",2021,2021-05-17,0.0471666666666667
"84","ARB",2021,2021-05-25,0.05473
"85","ARB",2021,2021-06-10,0.0353777777777778
"86","ARB",2021,2021-06-18,0.04229
"87","ARB",2021,2021-06-26,0.0459
"88","ARB",2021,2021-07-20,0.0228
"89","ARB",2021,2021-07-28,0.0261333333333333
"90","ARB",2022,2022-05-01,0.0464894736842105
"91","ARB",2022,2022-05-09,0.04447
"92","ARB",2022,2022-05-17,0.034625
"93","ARB",2022,2022-05-25,0.0428
"94","ARB",2022,2022-06-02,0.030525
"95","ARB",2022,2022-06-10,0.0214857142857143
"96","ARB",2022,2022-06-18,0.0142684210526316
"97","ARB",2022,2022-06-26,0.0206916666666667
"98","ARB",2022,2022-07-04,0.0185
"99","ARB",2022,2022-07-12,0.0170875
"100","ARB",2022,2022-07-20,0.0156
"101","ARB",2022,2022-07-28,0.0164
"102","ARB",2023,2023-05-09,0.0377166666666667
"103","ARB",2023,2023-05-25,0.0634263157894737
"104","ARB",2023,2023-06-02,0.0334833333333333
"105","ARB",2023,2023-06-10,0.030185
"106","ARB",2023,2023-06-18,0.0384
"107","ARB",2023,2023-06-26,0.0205
"108","ARB",2023,2023-07-04,0.027795
"109","ARB",2023,2023-07-12,0.0263210526315789
"110","ARB",2023,2023-07-20,0.0214166666666667
"111","ARB",2023,2023-07-28,0.007925
"112","ARB",2024,2024-05-08,0.0378190476190476
"113","ARB",2024,2024-05-16,0.04378
"114","ARB",2024,2024-05-24,0.0429333333333333
"115","ARB",2024,2024-06-09,0.0405315789473684
"116","ARB",2024,2024-06-17,0.0285
"117","ARB",2024,2024-06-25,0.0337833333333333
"118","ARB",2024,2024-07-03,0.0276153846153846
"119","ARB",2024,2024-07-11,0.01544375
"120","ARB",2024,2024-07-27,0.020125
"121","ARB",2025,2025-05-01,0.032735
"122","ARB",2025,2025-05-17,0.0301190476190476
"123","ARB",2025,2025-05-25,0.0279
"124","ARB",2025,2025-06-02,0.038095
"125","ARB",2025,2025-06-10,0.0357166666666667
"126","ARB",2025,2025-06-18,0.026795
"127","ARB",2025,2025-07-04,0.027645
"128","ARB",2025,2025-07-12,0.0280210526315789
"129","ARB",2025,2025-07-20,0.0232
"130","ARB",2025,2025-07-28,0.026505
"131","BEC",2013,2013-05-01,0.0257466666666667
"132","BEC",2013,2013-05-09,0.0360391304347826
"133","BEC",2013,2013-05-25,0.0367636363636364
"134","BEC",2013,2013-06-02,0.04738
"135","BEC",2013,2013-06-10,0.0363894736842105
"136","BEC",2013,2013-06-18,0.03906875
"137","BEC",2013,2013-06-26,0.043525
"138","BEC",2013,2013-07-04,0.031
"139","BEC",2013,2013-07-12,0.0389647058823529
"140","BEC",2013,2013-07-20,0.0354818181818182
"141","BEC",2013,2013-07-28,0.0435764705882353
"142","BEC",2014,2014-05-01,0.0376136363636364
"143","BEC",2014,2014-05-17,0.0447428571428571
"144","BEC",2014,2014-05-25,0.0325260869565217
"145","BEC",2014,2014-06-02,0.0424521739130435
"146","BEC",2014,2014-06-10,0.0360125
"147","BEC",2014,2014-06-18,0.034715
"148","BEC",2014,2014-06-26,0.0317190476190476
"149","BEC",2014,2014-07-04,0.0423545454545455
"150","BEC",2014,2014-07-12,0.0396714285714286
"151","BEC",2014,2014-07-20,0.0279294117647059
"152","BEC",2014,2014-07-28,0.0355086956521739
"153","BEC",2015,2015-05-01,0.0409652173913043
"154","BEC",2015,2015-05-09,0.0364666666666667
"155","BEC",2015,2015-05-17,0.0436772727272727
"156","BEC",2015,2015-06-10,0.0303266666666667
"157","BEC",2015,2015-06-18,0.0207
"158","BEC",2015,2015-06-26,0.0330833333333333
"159","BEC",2015,2015-07-12,0.027445
"160","BEC",2015,2015-07-20,0.0386695652173913
"161","BEC",2015,2015-07-28,0.0305157894736842
"162","BEC",2016,2016-05-08,0.0355133333333333
"163","BEC",2016,2016-05-16,0.0383045454545455
"164","BEC",2016,2016-05-24,0.03946
"165","BEC",2016,2016-06-01,0.04569375
"166","BEC",2016,2016-06-09,0.0386272727272727
"167","BEC",2016,2016-06-17,0.0386714285714286
"168","BEC",2016,2016-06-25,0.0354222222222222
"169","BEC",2016,2016-07-11,0.0300125
"170","BEC",2016,2016-07-19,0.02125625
"171","BEC",2016,2016-07-27,0.0281933333333333
"172","BEC",2017,2017-05-01,0.0322173913043478
"173","BEC",2017,2017-05-09,0.0448565217391304
"174","BEC",2017,2017-05-17,0.0314315789473684
"175","BEC",2017,2017-05-25,0.0407875
"176","BEC",2017,2017-06-02,0.04545
"177","BEC",2017,2017-06-10,0.0383736842105263
"178","BEC",2017,2017-06-18,0.0403052631578947
"179","BEC",2017,2017-06-26,0.0450363636363636
"180","BEC",2017,2017-07-04,0.0297294117647059
"181","BEC",2017,2017-07-12,0.0299166666666667
"182","BEC",2017,2017-07-20,0.0148478260869565
"183","BEC",2018,2018-05-01,0.0349260869565217
"184","BEC",2018,2018-05-09,0.0332047619047619
"185","BEC",2018,2018-05-17,0.0404045454545455
"186","BEC",2018,2018-05-25,0.03367
"187","BEC",2018,2018-06-02,0.0464727272727273
"188","BEC",2018,2018-06-10,0.0384055555555556
"189","BEC",2018,2018-06-18,0.0343
"190","BEC",2018,2018-06-26,0.0256857142857143
"191","BEC",2018,2018-07-04,0.0331526315789474
"192","BEC",2018,2018-07-12,0.029804347826087
"193","BEC",2018,2018-07-20,0.0181833333333333
"194","BEC",2018,2018-07-28,0.02656
"195","BEC",2019,2019-05-01,0.036995
"196","BEC",2019,2019-05-09,0.0303
"197","BEC",2019,2019-05-25,0.0394
"198","BEC",2019,2019-06-02,0.0355421052631579
"199","BEC",2019,2019-06-10,0.0452318181818182
"200","BEC",2019,2019-06-18,0.0340222222222222
"201","BEC",2019,2019-06-26,0.0297647058823529
"202","BEC",2019,2019-07-04,0.0339631578947368
"203","BEC",2019,2019-07-12,0.0320260869565217
"204","BEC",2019,2019-07-20,0.0343090909090909
"205","BEC",2019,2019-07-28,0.0413181818181818
"206","BEC",2020,2020-05-08,0.0292045454545455
"207","BEC",2020,2020-05-24,0.0466117647058824
"208","BEC",2020,2020-06-01,0.0463272727272727
"209","BEC",2020,2020-06-09,0.0509826086956522
"210","BEC",2020,2020-07-03,0.0274095238095238
"211","BEC",2020,2020-07-11,0.0384052631578947
"212","BEC",2020,2020-07-19,0.0292285714285714
"213","BEC",2020,2020-07-27,0.0293263157894737
"214","BEC",2021,2021-05-01,0.0355521739130435
"215","BEC",2021,2021-05-09,0.03689375
"216","BEC",2021,2021-05-17,0.0357705882352941
"217","BEC",2021,2021-05-25,0.0287105263157895
"218","BEC",2021,2021-06-02,0.0300304347826087
"219","BEC",2021,2021-06-10,0.043825
"220","BEC",2021,2021-06-18,0.0362761904761905
"221","BEC",2021,2021-06-26,0.0346333333333333
"222","BEC",2021,2021-07-04,0.0344166666666667
"223","BEC",2021,2021-07-20,0.03009
"224","BEC",2021,2021-07-28,0.0308545454545455
"225","BEC",2022,2022-05-01,0.0322961538461538
"226","BEC",2022,2022-05-09,0.0476347826086956
"227","BEC",2022,2022-05-17,0.0399066666666667
"228","BEC",2022,2022-05-25,0.0393384615384615
"229","BEC",2022,2022-06-02,0.042845
"230","BEC",2022,2022-06-10,0.023
"231","BEC",2022,2022-06-18,0.0416476190476191
"232","BEC",2022,2022-06-26,0.0317095238095238
"233","BEC",2022,2022-07-04,0.0202611111111111
"234","BEC",2022,2022-07-12,0.033021052631579
"235","BEC",2022,2022-07-20,0.0193315789473684
"236","BEC",2022,2022-07-28,0.0279
"237","BEC",2023,2023-05-09,0.036132
