"","Pop","Latitude","Year","Epitrix fuscula","Black_weevils","Leptinotarsa juncta","Torti_Beetle","Spider mite","Leafhopper","Mealybug","Spodoptera"
"1","ARB",33.19,2022,6,0,0,0,0,0,0,0
"2","BEC",38.214,2023,15,5,0,0,0,0,0,0
"3","BR",30.082,2022,1,0,1,0,0,0,0,0
"4","CAH",33.322,2022,3,0,0,0,0,0,0,0
"5","COO",32.513,2023,39,3,0,5,0,0,0,0
"6","DUDU",29.614,2023,0,0,0,0,5,0,0,0
"7","FLAT",32.398,2022,2,0,0,0,0,0,0,0
"8","GRE",33.361,2023,32,3,2,0,0,0,0,0
"9","I2",38.09,2022,0,0,1,0,0,0,0,0
"10","I3",38.213,2022,0,0,7,0,0,0,0,0
"11","KAN",41.049,2023,0,0,0,1,0,0,0,0
"12","N5",42.443,2022,8,0,0,0,0,0,0,0
"13","OAK",42.181,2023,3,0,0,0,0,1,0,0
"14","PLA",39.72,2023,4,5,0,0,0,1,0,0
"15","QUI",30.547,2023,0,2,46,0,0,0,0,0
"16","REF",35.01,2023,0,1,0,0,0,0,8,0
"17","SHE",36.185,2023,13,8,0,3,0,0,0,0
"18","SUW",29.303,2023,0,6,0,0,0,0,0,0
"19","TAL",30.496,2023,0,16,2,0,0,0,0,1
