,Pop,Latitude,Aphid,Caterpillar,Cicadellidae,Egg,Epitrix fuscula,Grasshopper,Green caterpillar,Mealybug,Scale,Spider mite,Spodoptera,Stink bug,White fly,Black_weevils,Leptinotarsa juncta,Cicadelidae,Cidadelldae,Torti_Beetle,Mormidea lugens,Leafhopper,Pentitanidae,Stinkbug,NA,Myridae,green caterpillar,Green Caterpillar,Beetle,Cicadelladae,Hemipteran,egg
1,ARB,33.189776,150,3,1,1,6,7,1,1208,58,11,9,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BEC,38.2144158,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BR,30.081895,0,0,0,0,1,0,0,233,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAH,33.322326,0,13,0,0,3,1,0,689,0,0,4,3,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COO,32.5134944,0,0,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6,DUDU,29.6135164,0,2,0,0,0,0,0,2920,0,5,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ECO,30.15618,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,FLAT,32.397905,0,5,0,0,2,0,1,607,5,0,8,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,GRE,33.3606805,0,0,0,0,32,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,HIX,35.126792,0,3,0,0,0,0,1,229,33,0,2,0,22,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0
11,I1,35.756115,0,8,0,0,0,0,0,297,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,I2,38.090354,0,5,0,0,0,0,0,1669,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,I3,38.21292,100,4,2,0,0,0,0,430,9,0,3,2,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,I4,39.881442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ICH,31.240498,0,1,0,0,0,0,0,120,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,KAN,41.0491084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,MOR,33.805162,0,6,0,0,0,0,2,1935,4,0,8,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
18,N1,41.060078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,N10,43.642057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,N2,41.378575,290,0,0,0,0,0,1,968,10,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,N3,42.957818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,N4,42.950489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,N5,42.442998,0,4,0,0,8,0,9,1961,1,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,N6,42.426433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,N7,42.199832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,N8,42.181973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,N9,43.390901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OAK,42.1814204,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,PLA,39.719879,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,PS,29.411548,0,0,2,0,0,4,0,891,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,QUI,30.5473566,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,REF,35.010498,430,0,0,0,0,0,0,547,0,0,6,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SHE,36.185288,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
34,SUW,29.3034545,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,TAL,30.4959901,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
