Pop,Plant_ID,Treatment,Weight,Sprout,Experiment
ARB,ARB-12A,Cont,3.2296,4/29/2023,Dudu
ARB,ARB-15B,Dam,2.6105,4/29/2023,Dudu
ARB,ARB-15C,Und,2.3962,4/29/2023,Dudu
ARB,ARB-7A,Dam,1.7015,5/1/2023,Dudu
ARB,ARB-7B,Und,2.8116,4/29/2023,Dudu
ARB,ARB-7C,Cont,5.3001,4/29/2023,Dudu
ARB,ARB-7D,Cont,2.8882,5/8/2023,Dudu
ARB,ARB-7E,Cont,1.4581,4/30/2023,Dudu
ARB,ARB-7F,Cont,1.5103,5/1/2023,Dudu
ARB,ARB-8A,Cont,1.3898,5/1/2023,Dudu
ARB,ARB-8B,Dam,3.1891,5/1/2023,Dudu
ARB,ARB-8C,Und,4.4219,4/27/2023,Dudu
BR,BR-1A,Dam,2.2031,5/5/2023,Dudu
BR,BR-1E,Cont,2.1749,5/1/2023,Dudu
BR,BR-1F,,1.7807,,
BR,BR-1G,,2.3582,5/3/2023,?
BR,BR-1H,Cont,1.4345,5/1/2023,Dudu
BR,BR-1I,,1.7351,,
BR,BR-1J,Und,2.9145,4/30/2023,Dudu
CAH,CAH-11B,us,1.5681,5/1/2023,Jake
CAH,CAH-12A,,1.3033,,
CAH,CAH-12B,Und,3.9367,4/28/2023,Dudu
CAH,CAH-12C,Cont,5.2405,4/28/2023,Dudu
CAH,CAH-14A,Cont,2.5701,4/30/2023,Dudu
CAH,CAH-14B,Cont,4.369,4/28/2023,Dudu
CAH,CAH-5A,Und,5.6939,4/30/2023,Dudu
CAH,CAH-5B,Dam,3.9567,4/27/2023,Dudu
CAH,CAH-5C,Cont,2.4801,4/28/2023,Dudu
CAH,CAH-8A,Cont,4.8031,4/28/2023,Dudu
CAH,CAH-8B,Dam,4.7736,4/30/2023,Dudu
CAH,CAH-8C,Cont,4.4144,4/28/2023,Dudu
CAH,CAH-8E,Cont,3.652,4/29/2023,Dudu
CAH,CAH-9A,Dam,4.0979,4/30/2023,Dudu
COL,COL-1A,,0.6874,,
COL,COL-1B,,0.2876,,
DUDU,DUDU-10A,us,0.993,5/21/2023,Jake
DUDU,DUDU-10B,,1.605,,
DUDU,DUDU-10C,,0.936,,
DUDU,DUDU-10D,,0.767,,
DUDU,DUDU-10E,,0.805,,
DUDU,DUDU-10F,s,0.812,5/23/2023,Jake
DUDU,DUDU-10G,,1.192,,
DUDU,DUDU-10H,,0.778,,
DUDU,DUDU-10I,,1.519,,
DUDU,DUDU-10J,s,0.859,5/26/2023,Jake
DUDU,DUDU-10L,us,0.787,5/24/2023,Jake
DUDU,DUDU-1A,Cont,2.5016,4/28/2023,Dudu
DUDU,DUDU-1B,,3.5239,5/3/2023,?
DUDU,DUDU-1C,Cont,0.7499,5/1/2023,Dudu
DUDU,DUDU-3A,Dam,1.6807,5/3/2023,Dudu
DUDU,DUDU-3C,Und,3.4238,4/30/2023,Dudu
DUDU,DUDU-3D,Cont,0.8547,5/7/2023,Dudu
DUDU,DUDU-3E,,1.1819,,
DUDU,DUDU-5A,Dam,3.5927,4/30/2023,Dudu
DUDU,DUDU-5B,Und,2.8044,5/2/2023,Dudu
DUDU,DUDU-6A,s,0.618,5/20/2023,Jake
DUDU,DUDU-6B,s,0.63,5/15/2023,Jake
DUDU,DUDU-6C,us,0.656,5/14/2023,Jake
DUDU,DUDU-6D,s,0.55,5/20/2023,Jake
DUDU,DUDU-6E,us,0.862,5/19/2023,Jake
DUDU,DUDU-7A,Cont,0.694,5/15/2023,Dudu
DUDU,DUDU-7B,Dam,0.793,5/15/2023,Dudu
DUDU,DUDU-7C,Cont,0.73,5/15/2023,Dudu
DUDU,DUDU-7D,Und,0.521,5/15/2023,Dudu
DUDU,DUDU-7E,Cont,0.775,5/15/2023,Dudu
DUDU,DUDU-7F,us,0.792,5/20/2023,Jake
