Plant_ID,Date,Height,leaves,fl_h,fl_m,Chewing,Sucking,herb.sp1,herb.n1,herb.sp2,herb.n2,herb.sp3,herb.n3
PS-1A,5/15/2023,13,6,,,,,,,,,,
PS-1B,5/15/2023,8,5,,,,,,,,,,
PS-1C,5/15/2023,11,6,,,,,,,,,,
PS-2A,5/15/2023,9,4,,,,,,,,,,
PS-2B,5/15/2023,14,7,,,,,,,,,,
PS-2C,5/15/2023,6,6,,,,,,,,,,
PS-2E,5/15/2023,9,4,,,,,,,,,,
PS-2F,5/15/2023,8,12,,,,,,,,,,
PS-2G,5/15/2023,14,6,,,,,,,,,,
PS-3E,5/15/2023,7,12,,,,,,,,,,
PS-3F,5/15/2023,10,9,,,,,,,,,,
PS-4A,5/15/2023,11,12,,,,,,,,,,
PS-4B,5/15/2023,11,11,,,,,,,,,,
PS-4C,5/15/2023,7,7,,,,,,,,,,
PS-4D,5/15/2023,5,7,,,,,,,,,,
PS-4E,5/15/2023,9,6,,,,,,,,,,
PS-5B,5/15/2023,13,14,,,,,,,,,,
PS-5C,5/15/2023,10,5,,,,,,,,,,
PS-5E,5/15/2023,11,13,,,,,,,,,,
DUDU-1A,5/15/2023,18,24,,,,,,,,,,
DUDU-1C,5/15/2023,3,4,,,,,,,,,,
DUDU-3A,5/15/2023,7,9,,,,,,,,,,
DUDU-3C,5/15/2023,14,22,,,,,,,,,,
DUDU-3D,5/15/2023,3,4,,,,,,,,,,
DUDU-5A,5/15/2023,9,28,,,,,,,,,,
DUDU-5B,5/15/2023,15,13,,,,,,,,,,
DUDU-7A,,3,11,,,,,,,,,,
DUDU-7B,,3,6,,,,,,,,,,
DUDU-7C,,2,5,,,,,,,,,,
DUDU-7D,,4,8,,,,,,,,,,
DUDU-7E,,3,8,,,,,,,,,,
BR-1A,5/15/2023,5,11,,,,,,,,,,
BR-1E,5/15/2023,8,5,,,,,,,,,,
BR-1H,5/15/2023,6,11,,,,,,,,,,
BR-1J,5/15/2023,13,20,,,,,,,,,,
ECO-1A,5/15/2023,16,17,,,,,,,,,,
ECO-1B,5/15/2023,19,27,,,,,,,,,,
ECO-2A,5/15/2023,11,9,,,,,,,,,,
ECO-2B,5/15/2023,13,16,,,,,,,,,,
ECO-3A,5/15/2023,19,26,,,,,,,,,,
ECO-3B,5/15/2023,15,20,,,,,,,,,,
ECO-5A,5/15/2023,17,20,,,,,,,,,,
ECO-5B,5/15/2023,16,21,,,,,,,,,,
ECO-6B,5/15/2023,10,11,,,,,,,,,,
ICH-1A,5/15/2023,14,6,,,,,,,,,,
ICH-1B,5/15/2023,16,16,,,,,,,,,,
ICH-3A,5/15/2023,12,15,,,,,,,,,,
ICH-5A,5/15/2023,12,12,,,,,,,,,,
ICH-6A,5/15/2023,12,5,,,,,,,,,,
FLAT-1A,5/15/2023,16,14,,,,,,,,,,
FLAT-1B,5/15/2023,4,4,,,,,,,,,,
FLAT-3A,5/15/2023,7,7,,,,,,,,,,
FLAT-4B,5/15/2023,17,11,,,,,,,,,,
FLAT-5A,5/15/2023,13,10,,,,,,,,,,
FLAT-6B,5/15/2023,16,8,,,,,,,,,,
ARB-7A,5/15/2023,14,5,,,,,,,,,,
ARB-7B,5/15/2023,19,15,,,,,,,,,,
ARB-7C,5/15/2023,19,13,,,,,,,,,,
ARB-7D,5/15/2023,9,3,,,,,,,,,,
ARB-7E,5/15/2023,17,10,,,,,,,,,,
ARB-7F,5/15/2023,17,15,,,,,,,,,,
ARB-8A,5/15/2023,4,4,,,,,,,,,,
ARB-8B,5/15/2023,7,5,,,,,,,,,,
ARB-8C,5/15/2023,16,13,,,,,,,,,,
ARB-12A,5/15/2023,10,15,,,,,,,,,,
ARB-15B,5/15/2023,10,13,,,,,,,,,,
ARB-15C,5/15/2023,15,11,,,,,,,,,,
CAH-5A,5/15/2023,12,19,,,,,,,,,,
CAH-5B,5/15/2023,15,25,,,,,,,,,,
CAH-5C,5/15/2023,12,10,,,,,,,,,,
CAH-8A,5/15/2023,15,18,,,,,,,,,,
CAH-8B,5/15/2023,12,18,,,,,,,,,,
CAH-8C,5/15/2023,12,21,,,,,,,,,,
CAH-8E,5/15/2023,13,20,,,,,,,,,,
CAH-9A,5/15/2023,13,13,,,,,,,,,,
CAH-11B,5/15/2023,4,4,,,,,,,,,,
CAH-12B,5/15/2023,13,25,,,,,,,,,,
CAH-12C,5/15/2023,18,29,,,,,,,,,,
CAH-14A,5/15/2023,7,14,,,,,,,,,,
CAH-14B,5/15/2023,13,22,,,,,,,,,,
MOR-1A,,6,6,,,,,,,,,,
MOR-1B,5/15/2023,7,4,,,,,,,,,,
MOR-1C,5/15/2023,13,6,,,,,,,,,,
MOR-1D,5/15/2023,7,4,,,,,,,,,,
MOR-2A,5/15/2023,5,5,,,,,,,,,,
MOR-2B,5/15/2023,10,4,,,,,,,,,,
MOR-4A,5/15/2023,4,5,,,,,,,,,,
MOR-4C,5/15/2023,8,4,,,,,,,,,,
MOR-4D,5/15/2023,8,5,,,,,,,,,,
MOR-4E,5/15/2023,7,4,,,,,,,,,,
MOR-4F,5/15/2023,10,4,,,,,,,,,,
MOR-6A,5/15/2023,14,6,,,,,,,,,,
MOR-6C,5/15/2023,7,5,,,,,,,,,,
MOR-6D,5/15/2023,11,10,,,,,,,,,,
MOR-6G,5/15/2023,5,4,,,,,,,,,,
MOR-8A,5/15/2023,4,2,,,,,,,,,,
MOR-8B,,2,4,,,,,,,,,,
REF-1B,5/15/2023,11,6,,,,,,,,,,
