Sample_Label,Abs,rep,Notes
231,0.6427,1,
40,0.769,1,
170,0.5578,1,
61,0.6595,1,
111,0.6033,1,
60,0.6169,1,
1,0.4599,1,
10,0.5843,1,
119,0.4851,1,
239,0.5945,1,
152,0.589,1,
54,0.5174,1,
80,0.4228,1,
90,0.6798,1,
81,0.8118,1,
139,0.8629,1,
222,0.5118,1,
91,0.8454,1,
162,0.7171,1,
132,0.7296,1,
41,0.8304,1,
35,0.6301,1,
21,0.5613,1,
200,0.5214,1,
192,0.6427,1,
20,0.509,1,
151,0.5397,1,
159,0.5107,1,
210,0.5386,1,
121,0.4347,1,
209,0.7509,1,
219,0.6651,1,
199,0.7074,1,
149,0.5845,1,
240,0.6372,1,
201,0.4852,1,
191,0.5773,1,
141,0.6215,1,
221,0.4595,1,
202,0.4445,1,
82,0.5914,1,
140,0.634,1,
120,0.4703,1,
55,0.5578,1,
79,0.4816,1,
70,0.5104,1,
242,0.4942,1,
71,0.5152,1,
69,0.5414,1,
50,0.6428,1,
211,0.5077,1,
129,0.5881,1,
171,0.5201,1,
180,0.4758,1,
190,0.4753,1,
30,0.6013,1,
112,0.6309,1,
229,0.6416,1,
122,0.6386,1,
220,0.6051,1,
59,0.4328,1,
131,0.5449,1,
150,0.5672,1,
130,0.5609,1,
212,0.6247,1,
161,0.4954,1,
230,0.5629,1,
181,0.6911,1,
232,0.5549,1,
101,0.5672,1,
241,0.6055,1,
72,0.6244,1,
62,0.7537,1,
110,0.7139,1,
142,0.6538,1,
100,0.7224,1,
11,0.5932,1,
160,0.5256,1,
42,0.5349,1,
49,0.4315,1,
77,0.4274,1,
48,0.4709,1,
13,0.4944,1,
224,0.5412,1,
153,0.521,1,
147,0.4755,1,
148,0.4706,1,
175,0.5025,1,
176,0.4988,1,
227,0.661,1,
8,0.4807,1,
225,0.6079,1,
137,0.6392,1,
173,0.476,1,
107,0.5019,1,
33,0.4267,1,
36,0.5023,1,
195,0.4705,1,
185,0.4675,1,
172,0.5146,1,
26,0.5314,1,
96,0.5064,1,
76,0.4625,1,
134,0.5545,1,
164,0.5032,1,
167,0.3545,1,
144,0.6705,1,
14,0.5427,1,
27,0.506,1,
105,0.5081,1,
97,0.4896,1,
235,0.3522,1,
196,0.4884,1,
174,0.4885,1,
104,0.5934,1,
114,0.4844,1,
226,0.6417,1,
186,0.4506,1,
23,0.5355,1,
154,0.521,1,
216,0.5326,1,
38,0.6666,1,
215,0.5431,1,
24,0.5138,1,
5,0.4425,1,
169,0.5463,1,
163,0.4377,1,
17,0.4145,1,
75,0.4678,1,
43,0.5784,1,
7,0.4406,1,
4,0.4615,1,
63,0.4655,1,
168,0.3969,1,
74,0.5033,1,
78,0.4306,1,
166,0.3925,1,
234,0.5195,1,
2,0.4144,1,
117,0.444,1,
53,0.5238,1,
237,0.4093,1,
16,0.4466,1,
18,0.4229,1,
58,0.4086,1,
158,0.4592,1,
165,0.4736,1,
73,0.4576,1,
129,0.3979,1,
206,0.462,1,
205,0.4589,1,
3,0.4145,1,
124,0.4836,1,
47,0.4347,1,
244,0.4644,1,
157,0.4244,1,
12,0.4469,1,
177,0.4765,1,
32,0.3721,1,
37,0.6318,1,
124,0.443,2,
244,0.4863,2,
73,0.4749,2,
177,0.4712,2,
27,0.5589,2,
206,0.5039,2,
37,0.6702,2,
32,0.5238,2,
3,0.4746,2,
129,0.4521,2,
158,0.4603,2,
165,0.5256,2,
18,0.4728,2,
12,0.4922,2,
4,0.4912,2,
237,0.4529,2,
58,0.411,2,
173,0.4902,2,
157,0.4289,2,
205,0.4191,2,
47,0.4775,2,
117,0.4939,2,
97,0.4939,2,
196,0.5154,2,
16,0.4355,2,
154,0.4765,2,
235,0.4796,2,
167,0.4791,2,
63,0.4652,2,
176,0.4655,2,
96,0.492,2,
8,0.4679,2,
75,0.4387,2,
164,0.5104,2,
43,0.5709,2,
