Well,Sample,Abs,Plate,Rep
E01,1,0.334,2,1
F01,1,0.3454,2,2
G01,1,0.3222,2,3
H01,1,0.3429,2,4
A05,3,0.4719,2,1
B04,3,0.4468,2,2
C04,3,0.4177,2,3
D04,3,0.4331,2,4
A09,5,0.4238,2,1
B09,5,0.4192,2,2
C09,5,0.4229,2,3
D09,5,0.4143,2,4
E12,8,0.441,2,1
F12,8,0.4329,2,2
G12,8,0.7495,2,3
H12,8,0.6565,2,4
A03,10,0.6777,2,1
A09,10,0.5777,2,3
B03,10,0.6879,2,2
B09,10,0.595,2,4
E01,11,0.4233,2,1
F01,11,0.4089,2,2
G01,11,0.4176,2,3
H01,11,0.4849,2,4
E02,13,0.3476,2,1
F02,13,0.2587,2,2
G02,13,0.3563,2,3
H02,13,0.3698,2,4
E06,16,0.4005,2,1
F06,16,0.378,2,2
G06,16,0.3663,2,3
H06,16,0.3729,2,4
A05,17,0.4674,2,1
B05,17,0.4357,2,2
C05,17,0.3699,2,3
D05,17,0.452,2,4
F06,19,0.4192,2,2
A04,19,0.6292,1,1
B04,19,0.5708,1,2
C04,19,0.5838,1,3
D04,19,0.5749,1,4
A06,21,0.5295,2,1
B06,21,0.5014,2,2
C06,21,0.5054,2,3
D06,21,0.5261,2,4
E07,23,0.7509,2,1
F07,23,0.8492,2,2
G05,23,0.7315,2,3
H05,23,0.8404,2,4
A06,25,0.3831,2,1
B06,25,0.372,2,2
C06,25,0.3631,2,3
D06,25,0.3506,2,4
E09,28,0.3721,2,1
F09,28,0.3549,2,2
G09,28,0.3613,2,3
H09,28,0.3736,2,4
E08,29,0.6774,2,1
F08,29,0.6576,2,2
G07,29,0.4775,2,3
H07,29,0.4987,2,4
G08,31,0.4644,2,3
H08,31,0.523,2,4
E03,31,0.5281,1,1
F03,31,0.5397,1,2
E08,33,0.5075,2,1
F08,33,0.4745,2,2
G08,33,0.4769,2,3
H08,33,0.5056,2,4
A08,35,0.5867,2,1
B07,35,0.542,2,2
C05,35,0.4656,2,3
D05,35,0.5811,2,4
E09,37,0.716,2,1
F09,37,0.5768,2,2
G10,37,0.5306,2,3
H10,37,0.5286,2,4
A07,39,0.5659,2,1
B07,39,0.619,2,2
C07,39,0.6152,2,3
D07,39,0.642,2,4
E10,41,0.4543,2,1
F10,41,0.4368,2,2
G10,41,0.4304,2,3
H10,41,0.4056,2,4
