Plant_ID,Leaf_location,Leaf_rep,Sample,Leaf_weight,Experiement,Notes
MOR-1B,B,1,1,18,Dudu,not marked
MOR-1B,B,2,2,20,Dudu,not marked
MOR-1B,T,1,3,20,Dudu,
MOR-1B,T,2,4,20,Dudu,
MOR-1C,B,1,5,21,Dudu,
MOR-1C,B,2,6,21,Dudu,
MOR-1C,T,1,7,20,Dudu,
MOR-1C,T,2,8,20,Dudu,
MOR-1D,B,1,9,20,Dudu,
MOR-1D,B,2,10,20,Dudu,
MOR-1D,T,1,11,20,Dudu,
MOR-1D,T,2,12,20,Dudu,
MOR-2A,B,1,13,20,Dudu,not marked
MOR-2A,B,2,14,20,Dudu,not marked
MOR-2A,T,1,15,20,Dudu,not marked
MOR-2A,T,2,16,21,Dudu,not marked
MOR-2B,B,1,17,20,Dudu,
MOR-2B,B,2,18,20,Dudu,
MOR-2B,T,1,19,20,Dudu,
MOR-2B,T,2,20,21,Dudu,
MOR-4C,B,1,21,20,Dudu,
MOR-4C,B,2,22,21,Dudu,
MOR-4C,T,1,23,20,Dudu,
MOR-4C,T,2,24,20,Dudu,
MOR-4D,B,1,25,21,Dudu,
MOR-4D,B,2,26,20,Dudu,
MOR-4D,T,1,27,20,Dudu,
MOR-4D,T,2,28,20,Dudu,
MOR-4E,B,1,29,20,Dudu,
MOR-4E,B,2,30,20,Dudu,
MOR-4E,T,1,31,21,Dudu,
MOR-4E,T,2,32,21,Dudu,
MOR-4F,B,1,33,20,Dudu,
MOR-4F,B,2,34,20,Dudu,
MOR-4F,T,1,35,21,Dudu,
MOR-4F,T,2,36,20,Dudu,
MOR-6A,B,1,37,20,Dudu,
MOR-6A,B,2,38,20,Dudu,
MOR-6A,T,1,39,20,Dudu,
MOR-6A,T,2,40,21,Dudu,
MOR-6C,B,1,41,20,Dudu,
MOR-6C,B,2,42,20,Dudu,
MOR-6C,T,1,43,20,Dudu,
MOR-6C,T,2,44,20,Dudu,
MOR-6D,B,1,45,20,Dudu,
MOR-6D,B,2,46,21,Dudu,
MOR-6D,T,1,47,20,Dudu,
MOR-6D,T,2,48,20,Dudu,
I2-1A,B,1,49,20,Dudu,
I2-1A,B,2,50,20,Dudu,
I2-1A,T,1,51,20,Dudu,
I2-1A,T,2,52,20,Dudu,
I2-1B,B,1,53,23,Dudu,
I2-1B,B,2,54,21,Dudu,
I2-1B,T,1,55,20,Dudu,
I2-1B,T,2,56,21,Dudu,
I2-2A,B,1,57,18,Dudu,
I2-2A,B,2,58,22,Dudu,
I2-2A,T,1,59,19,Dudu,
I2-2A,T,2,60,21,Dudu,
I2-7B,B,1,61,20,Dudu,
I2-7B,B,2,62,20,Dudu,
I2-7B,T,1,63,19,Dudu,
I2-7B,T,2,64,21,Dudu,
I3-2C,B,1,65,19,Dudu,
I3-2C,B,2,66,19,Dudu,
I3-2C,T,1,67,20,Dudu,
I3-2C,T,2,68,21,Dudu,
I3-3C,B,1,69,23,Dudu,
I3-3C,B,2,70,18,Dudu,
I3-3C,T,1,71,19,Dudu,
I3-3C,T,2,72,21,Dudu,
I3-4A,B,1,73,22,Dudu,
I3-4A,B,2,74,20,Dudu,
I3-4A,T,1,75,20,Dudu,
I3-4A,T,2,76,21,Dudu,
I3-4B,B,1,77,21,Dudu,
I3-4B,B,2,78,21,Dudu,
I3-4B,T,1,79,20,Dudu,
I3-4B,T,2,80,23,Dudu,
I3-5C,B,1,81,20,Dudu,
I3-5C,B,2,82,19,Dudu,
I3-5C,T,1,83,21,Dudu,
I3-5C,T,2,84,21,Dudu,
I3-6C,B,1,85,18,Dudu,
I3-6C,B,2,86,18,Dudu,
I3-6C,T,1,87,20,Dudu,
I3-6C,T,2,88,22,Dudu,
I3-6D,B,1,89,22,Dudu,
I3-6D,B,2,90,18,Dudu,
I3-6D,T,1,91,17,Dudu,
I3-6D,T,2,92,19,Dudu,
N5-3D,B,1,93,21,Dudu,
N5-3D,B,2,94,19,Dudu,
N5-3D,T,1,95,19,Dudu,
N5-3D,T,2,96,21,Dudu,
N5-3F,B,1,97,20,Dudu,
N5-3F,B,2,98,21,Dudu,
N5-3F,T,1,99,19,Dudu,
N5-3F,T,2,100,19,Dudu,
N5-3G,B,1,101,18,Dudu,
N5-3G,B,2,102,21,Dudu,
N5-3G,T,1,103,21,Dudu,
N5-3G,T,2,104,20,Dudu,
N5-4D,B,1,105,19,Dudu,
N5-4D,B,2,106,22,Dudu,
N5-4D,T,1,107,20,Dudu,
N5-4D,T,2,108,20,Dudu,
N5-4E,B,1,109,29,Dudu,
N5-4E,B,2,110,22,Dudu,
N5-4E,T,1,111,21,Dudu,
N5-4E,T,2,112,20,Dudu,
N5-4F,T,1,113,20,Dudu,
N5-4F,T,2,114,18,Dudu,
N5-4G,B,1,115,22,Dudu,
N5-4G,B,2,116,22,Dudu,
N5-4G,T,1,117,19,Dudu,
N5-4G,T,2,118,20,Dudu,
N5-5B,B,1,119,21,Dudu,
N5-5B,B,2,120,17,Dudu,
N5-5B,T,1,121,19,Dudu,
N5-5B,T,2,122,20,Dudu,
N5-5E,B,1,123,21,Dudu,
N5-5E,B,2,124,19,Dudu,
N5-5E,T,1,125,19,Dudu,
N5-5E,T,2,126,21,Dudu,
N5-5F,B,1,127,20,Dudu,
N5-5F,B,2,128,20,Dudu,
N5-5F,T,1,129,21,Dudu,
N5-5F,T,2,130,20,Dudu,
N5-6A,B,1,131,19,Dudu,
N5-6A,B,2,132,19,Dudu,
N5-6A,T,1,133,21,Dudu,
N5-6A,T,2,134,21,Dudu,
FLAT-1A,B,1,135,18,Dudu,
FLAT-1A,B,2,136,21,Dudu,
FLAT-1A,T,1,137,21,Dudu,
FLAT-1A,T,2,138,20,Dudu,
FLAT-1B,B,1,139,16,Dudu,
FLAT-1B,B,2,140,15,Dudu,
FLAT-1B,T,1,141,17,Dudu,
FLAT-1B,T,2,142,18,Dudu,
FLAT-3A,B,1,143,21,Dudu,
FLAT-3A,B,2,144,18,Dudu,
FLAT-3A,T,1,145,19,Dudu,
FLAT-3A,T,2,146,22,Dudu,
FLAT-5A,B,1,147,23,Dudu,
FLAT-5A,B,2,148,22,Dudu,
FLAT-5A,T,1,149,21,Dudu,
FLAT-5A,T,2,150,21,Dudu,
FLAT-6B,B,1,151,22,Dudu,
FLAT-6B,B,2,152,18,Dudu,
FLAT-6B,T,1,153,19,Dudu,
FLAT-6B,T,2,154,22,Dudu,
ICH-1A,B,1,155,22,Dudu,
ICH-1A,B,2,156,21,Dudu,
ICH-1A,T,1,157,20,Dudu,
ICH-1A,T,2,158,22,Dudu,
ICH-1B,B,1,159,10,Dudu,
ICH-1B,B,2,160,20,Dudu,
ICH-1B,T,1,161,21,Dudu,
ICH-1B,T,2,162,19,Dudu,
ICH-3A,B,1,163,19,Dudu,
ICH-3A,T,2,164,21,Dudu,
ICH-5A,B,1,165,19,Dudu,
ICH-5A,B,2,166,18,Dudu,
ICH-5A,T,1,167,22,Dudu,
ICH-5A,T,2,168,22,Dudu,
ICH-6A,B,1,169,20,Dudu,
ICH-6A,B,2,170,20,Dudu,
ICH-6A,T,1,171,21,Dudu,
ICH-6A,T,2,172,20,Dudu,
HIX-1C,B,1,173,22,Dudu,
HIX-1C,B,2,174,21,Dudu,
HIX-1C,T,1,175,20,Dudu,
HIX-1C,T,2,176,21,Dudu,
HIX-1D,B,1,177,21,Dudu,
HIX-1D,B,2,178,20,Dudu,
HIX-1D,T,1,179,19,Dudu,
HIX-1D,T,2,180,22,Dudu,
HIX-1E,B,1,181,20,Dudu,
HIX-1E,B,2,182,20,Dudu,
HIX-1E,T,1,183,21,Dudu,
HIX-1E,T,2,184,21,Dudu,
